original,status,updated_term,extraneous_text,confidence,error
Advertisements Boston 19th century. rbgenr,PROPOSED,Advertisements,Boston 19th century. rbgenr,0.0,
Advertisements Brass founding. rbgenr,PROPOSED,Advertisements,Brass founding. rbgenr,0.95,
Advertisements Copperwork. rbgenr,PROPOSED,Advertisements,Copperwork. rbgenr,1.0,
Advertisements Curiosities and wonders. rbgenr,PROPOSED,Advertisements,Curiosities and wonders. rbgenr,0.0,
Advertisements Drugs. rbgenr,PROPOSED,Advertisements,Drugs. rbgenr,0.0,
Advertisements Dry-goods. rbgenr,PROPOSED,Advertisements,Dry-goods. rbgenr,1.0,
Advertisements England Leeds 19th century. rbmscv,PROPOSED,Advertisements,England Leeds 19th century. rbmscv,0.0,
Advertisements England London 17th century. rbmscv,PROPOSED,Advertisements,England London 17th century. rbmscv,0.0,
Advertisements England London 1855. rbgenr,PROPOSED,Advertisements,England London 1855. rbgenr,0.0,
Advertisements England London 18th century. rbgenr,PROPOSED,Advertisements,England London 18th century. rbgenr,0.0,
Science fiction. aat,REVIEW,,. aat,0.0,updated_term not in candidate shortlist: Science fiction
Advertisements England London 19th century. rbmscv,PROPOSED,Advertisements,England London 19th century. rbmscv,0.0,
Advertisements England London 20th century. rbgenr,PROPOSED,Advertisements,England London 20th century. rbgenr,0.0,
Advertisements England London 20th century. rbmscv,PROPOSED,Advertisements,England London 20th century. rbmscv,0.0,
Advertisements Exhibitions. rbgenr,PROPOSED,Advertisements,Exhibitions. rbgenr,1.0,
Advertisements Exhibitions. rbmscv,PROPOSED,Advertisements,Exhibitions. rbmscv,0.0,
Advertisements Fairs. rbgenr,PROPOSED,Advertisements,Fairs. rbgenr,0.0,
Advertisements Footwear. rbgenr,PROPOSED,Advertisements,Footwear. rbgenr,0.0,
Advertisements France Paris 19th century. rbgenr,PROPOSED,Advertisements,France Paris 19th century. rbgenr,0.0,
Advertisements France Paris 19th century. rbmscv,PROPOSED,Advertisements,France Paris 19th century. rbmscv,0.0,
Advertisements Germany Munich 20th century. rbmscv,PROPOSED,Advertisements,Germany Munich 20th century. rbmscv,0.0,
Advertisements Great Britain London 20th century. rbgenr,PROPOSED,Advertisements,Great Britain London 20th century. rbgenr,0.0,
Advertisements Great Britain London 20th century. rbmscv,PROPOSED,Advertisements,Great Britain London 20th century. rbmscv,0.0,
Advertisements Hardware. rbgenr,PROPOSED,Advertisements,Hardware. rbgenr,0.0,
Advertisements Illinois Chicago 19th century. rbmscv,PROPOSED,Advertisements,Illinois Chicago 19th century. rbmscv,0.0,
Advertisements Iron. rbgenr,PROPOSED,Advertisements,Iron. rbgenr,0.0,
Advertisements Jewelry. rbgenr,PROPOSED,Advertisements,Jewelry. rbgenr,1.0,
Advertisements Libraries. rbgenr,PROPOSED,Advertisements,Libraries. rbgenr,1.0,
Advertisements Lotteries. rbgenr,PROPOSED,Advertisements,Lotteries. rbgenr,1.0,
Advertisements Maryland Baltimore 1932. rbgenr,PROPOSED,Advertisements,Maryland Baltimore 1932. rbgenr,0.0,
Advertisements Massachusetts Boston 19th century. rbgenr,PROPOSED,Advertisements,Massachusetts Boston 19th century. rbgenr,0.0,
Advertisements Massachusetts Boston 19th century. rbmscv,PROPOSED,Advertisements,Massachusetts Boston 19th century. rbmscv,0.0,
Advertisements Massachussets Boston 19th century. rbgenr,PROPOSED,Advertisements,Massachussets Boston 19th century. rbgenr,0.0,
Advertisements New Jersey Newark 20th century. rbgenr,PROPOSED,Advertisements,New Jersey Newark 20th century. rbgenr,0.0,
Advertisements New York (State) 19th century. rbmscv,PROPOSED,Advertisements,New York (State) 19th century. rbmscv,0.0,
Advertisements New York (State) 20th century. rbmscv,PROPOSED,Advertisements,New York (State) 20th century. rbmscv,0.0,
Advertisements New York (State) New York 19th century. rbmscv,PROPOSED,Advertisements,New York (State) New York 19th century. rbmscv,0.0,
Advertisements New York 19th century. rbgenr,PROPOSED,Advertisements,New York 19th century. rbgenr,0.0,
Advertisements New York New York 19th century. rbgenr,PROPOSED,Advertisements,New York New York 19th century. rbgenr,0.0,
Advertisements New York New York 20th century. rbgenr,PROPOSED,Advertisements,New York New York 20th century. rbgenr,1.0,
Advertisements Newspapers. rbgenr,PROPOSED,Newspapers,Advertisements. rbgenr,0.0,
Advertisements Painting. rbgenr,PROPOSED,Advertisements,Painting. rbgenr,1.0,
Advertisements Paper-making and trade. rbgenr,PROPOSED,Advertisements,Paper-making and trade. rbgenr,0.0,
Advertisements Patent medicines. rbgenr,PROPOSED,Advertisements,Patent medicines. rbgenr,0.95,
Advertisements Pennsylvania Philadelphia 19th century. rbgenr,PROPOSED,Advertisements,Pennsylvania Philadelphia 19th century. rbgenr,0.0,
Advertisements Pennsylvania Philadelphia 19th century. rbmscv,PROPOSED,Advertisements,Pennsylvania Philadelphia 19th century. rbmscv,0.0,
Advertisements Pennsylvania Philadelphia 20th century. rbgenr,PROPOSED,Advertisements,Pennsylvania Philadelphia 20th century. rbgenr,0.0,
Advertisements Pennsylvania Philadelphia 20th century. rbmscv,PROPOSED,Advertisements,Pennsylvania Philadelphia 20th century. rbmscv,0.0,
Advertisements Plants. rbgenr,PROPOSED,Advertisements,Plants. rbgenr,0.0,
Advertisements Postal service. rbgenr,PROPOSED,Advertisements,Postal service. rbgenr,1.0,
Advertisements Printing. rbgenr,PROPOSED,Advertisements,Printing. rbgenr,0.0,
Advertisements Real property. rbgenr,PROPOSED,Advertisements,Real property. rbgenr,0.0,
Advertisements Scotland Glasgow 20th century. rbmscv,PROPOSED,Advertisements,Scotland Glasgow 20th century. rbmscv,0.0,
Advertisements Shipping. rbgenr,PROPOSED,Advertisements,Shipping. rbgenr,0.0,
Advertisements Stationery. rbgenr,PROPOSED,Advertisements,Stationery. rbgenr,0.0,
Advertisements Stocks. rbgenr,PROPOSED,Advertisements,Stocks. rbgenr,0.0,
Advertisements Stocks. rbmscv,PROPOSED,Advertisements,Stocks. rbmscv,0.95,
Advertisements Taverns (Inns) rbgenr,PROPOSED,Advertisements,Taverns (Inns) rbgenr,0.95,
Advertisements United States 20th century. rbgenr,PROPOSED,Advertisements,United States 20th century. rbgenr,0.0,
Advertisements United States Boston 19th century. rbgenr,PROPOSED,Advertisements,United States Boston 19th century. rbgenr,0.0,
Advertisements United States Boston 19th century. rbmscv,PROPOSED,Advertisements,United States Boston 19th century. rbmscv,1.0,
Advertisements United States Boston 20th century. rbmscv,PROPOSED,Advertisements,United States Boston 20th century. rbmscv,0.0,
Advertisements United States New York 19th century. rbgenr,PROPOSED,Advertisements,United States New York 19th century. rbgenr,1.0,
Advertisements United States New York 19th century. rbmscv,PROPOSED,Advertisements,United States New York 19th century. rbmscv,0.0,
Advertisements United States New York 20th century. rbgenr,PROPOSED,Advertisements,United States New York 20th century. rbgenr,0.0,
Advertisements United States Pasadena 20th century. rbgenr,PROPOSED,Advertisements,United States Pasadena 20th century. rbgenr,1.0,
Advertisements United States Pasadena 20th century. rbmscv,PROPOSED,Advertisements,United States Pasadena 20th century. rbmscv,0.0,
Advertisements. rbgenr,PROPOSED,Advertisements,rbgenr,1.0,
Advertisements. rbmscv,PROPOSED,Advertisements,. rbmscv,0.0,
Advertisemnets New York (State) 20th century. rbmscv,REVIEW,,Advertisemnets New York (State) 20th century. rbmscv,0.0,
Advertisemnts United States New York 20th century. rbmscv,PROPOSED,States,Advertisemnts United New York 20th century. rbmscv,0.6,
Advertisments (Publishing) rbpub,REVIEW,,Advertisments (Publishing) rbpub,0.0,
Advertisments Germany Munich 20th century. rbgenr,REVIEW,,Advertisments Germany Munich 20th century. rbgenr,0.0,
Allegories. rbgenr,PROPOSED,Allegories,. rbgenr,0.0,
Almanacs England London 17th century Manuscripts Facsimiles. rbgenr,PROPOSED,Almanacs,England London 17th century Manuscripts Facsimiles. rbgenr,0.0,
Almanacs Massachusetts 1770. rbgenr,PROPOSED,Almanacs,Massachusetts 1770. rbgenr,0.0,
Almanacs Massachusetts 1773. rbgenr,PROPOSED,Almanacs,Massachusetts 1773. rbgenr,0.0,
Almanacs Massachusetts 1777. rbgenr,PROPOSED,Almanacs,Massachusetts 1777. rbgenr,0.0,
Almanacs Massachusetts 1781. rbgenr,PROPOSED,Almanacs,Massachusetts 1781. rbgenr,0.0,
Almanacs Massachusetts 1791. rbgenr,PROPOSED,Almanacs,Massachusetts 1791. rbgenr,0.0,
Almanacs Massachusetts 1796. rbgenr,PROPOSED,Almanacs,Massachusetts 1796. rbgenr,0.0,
Almanacs Massachusetts 19th century. rbgenr,PROPOSED,Almanacs,Massachusetts 19th century. rbgenr,0.0,
Almanacs New Hampshire 1788. rbgenr,PROPOSED,Almanacs,New Hampshire 1788. rbgenr,0.0,
Almanacs New York (State) 1759. rbgenr,PROPOSED,Almanacs,New York (State) 1759. rbgenr,0.0,
Almanacs Pennsylvania 1687. rbgenr,PROPOSED,Almanacs,Pennsylvania 1687. rbgenr,0.0,
Almanacs Pennsylvania 1793. rbgenr,PROPOSED,Almanacs,Pennsylvania 1793. rbgenr,0.0,
Almanacs Pennsylvania 1795. rbgenr,PROPOSED,Almanacs,Pennsylvania 1795. rbgenr,0.0,
Almanacs. rbgenr,PROPOSED,Almanacs,. rbgenr,0.0,
Alphabet books 1785. rbmscv,PROPOSED,Alphabet books,1785. rbmscv,0.0,
Alphabet books 1788. rbmscv,PROPOSED,Alphabet books,1788. rbmscv,0.0,
Alphabet books 1944. rbgenr,PROPOSED,Alphabet books,1944. rbgenr,1.0,
Alphabet books 1972. rbgenr,PROPOSED,Alphabet books,1972. rbgenr,0.0,
Alphabet books 1973. rbgenr,PROPOSED,Alphabet books,1973. rbgenr,0.0,
Alphabet books 1974. rbgenr,PROPOSED,Alphabet books,1974. rbgenr,1.0,
Alphabet books 1989. rbgenr,PROPOSED,Alphabet books,1989. rbgenr,1.0,
Alphabet books 1990. rbgenr,PROPOSED,Alphabet books,1990. rbgenr,1.0,
Alphabet books 1995. rbgenr,PROPOSED,Alphabet books,1995. rbgenr,1.0,
Alphabet books 2008. rbgenr,PROPOSED,Alphabet books,2008. rbgenr,0.0,
Alphabet books Massachusetts Boston 2004. rbgenr,PROPOSED,Alphabet books,Massachusetts Boston 2004. rbgenr,0.0,
Alphabet books New York (State) New York 1974. rbgenr,PROPOSED,Alphabet books,New York (State) New York 1974. rbgenr,0.0,
Alphabet books. rbgenr,PROPOSED,Alphabet books,. rbgenr,0.0,
Alphabet books. rbmscv,PROPOSED,Alphabet books,. rbmscv,1.0,
Alphabet rhymes 1973. rbgenr,PROPOSED,Alphabet rhymes,1973. rbgenr,0.0,
Alphabet rhymes Massachusetts Boston 1987. rbgenr,PROPOSED,Alphabet rhymes,Massachusetts Boston 1987. rbgenr,0.0,
Alphabets (Primers) 1787. rbgenr,REVIEW,,1787. rbgenr,0.0,
Alphabets (Primers) 1800. rbgenr,REVIEW,,"Alphabets (, 1800., rbgenr",0.0,
Alum tawed thongs (Binding) rbbin,PROPOSED,Alum tawed thongs (Bindings),(Binding) rbbin,0.0,
Anatomical atlases rbgenr,PROPOSED,Anatomical atlases,rbgenr,1.0,
Anatomical atlases. rbgenr,PROPOSED,Anatomical atlases,rbgenr,0.0,
Annotations (Provenance) 17th century. rbprov MMeT,PROPOSED,Annotations,(Provenance) 17th century. rbprov MMeT,0.0,
Annotations (Provenance) 18th century. rbprov MMeT,PROPOSED,Annotations,(Provenance) 18th century. rbprov MMeT,1.0,
Annotations (Provenance) rbprov,PROPOSED,Annotations,(Provenance) rbprov,0.0,
Annotations (Provenance) rbprov MMeT,PROPOSED,Annotations,(Provenance) rbprov MMeT,0.0,
Annotations (Provenance). rbprov,PROPOSED,Annotations,(Provenance). rbprov,0.0,
Annotations (Provenance). rbprov MMeT,PROPOSED,Annotations,,0.0,
Annotations. rbmscv,PROPOSED,Annotations,. rbmscv,0.0,
Annotations. rbmscv MMeT,PROPOSED,Annotations,rbmscv MMeT,0.0,
Annual reports. rbgenr,PROPOSED,Annual reports,. rbgenr,1.0,
Anthologies California Los Angeles 20th century. rbgenr,PROPOSED,Anthologies,California Los Angeles 20th century. rbgenr,0.0,
Anthologies England 17th century. rbgenr,PROPOSED,Anthologies,England 17th century. rbgenr,0.0,
Anthologies England London 1965. rbgenr,PROPOSED,Anthologies,England London 1965. rbgenr,0.0,
Anthologies England London 1982. rbgenr,PROPOSED,Anthologies,England London 1982. rbgenr,0.0,
Anthologies England Oxford 1980. rbgenr,PROPOSED,Anthologies,England Oxford 1980. rbgenr,0.0,
Anthologies Massachusetts Boston 1979. rbgenr,PROPOSED,Anthologies,Massachusetts Boston 1979. rbgenr,0.0,
Anthologies New York (State) New York 1998. rbgenr,PROPOSED,Anthologies,New York (State) New York 1998. rbgenr,0.0,
"Anthologies United States Civil War, 1861-1865. rbgenr",PROPOSED,Anthologies,"United States Civil War, 1861-1865. rbgenr",0.0,
Anthologies. rbgenr,PROPOSED,Anthologies,. rbgenr,0.0,
Anthologies. rbmscv,PROPOSED,Anthologies,. rbmscv,1.0,
Anti-Jewish works rbmscv,PROPOSED,Anti-Jewish works,rbmscv,0.0,
Anti-Semitic literature Michigan Dearbon 1920 rbgenr,REVIEW,,Michigan Dearbon 1920 rbgenr,0.0,
Anti-communist literature. rbgenr,PROPOSED,Anti-communist works,literature. rbgenr,0.0,
Anti-slavery works Massachusetts Boston 1851. rbmscv,PROPOSED,Anti-slavery works,Massachusetts Boston 1851. rbmscv,0.0,
Anti-slavery works New York (State) New York 1838. rbmscv,PROPOSED,Anti-slavery works,New York (State) New York 1838. rbmscv,0.0,
Anti-slavery works. rbmscv,PROPOSED,Anti-slavery works,rbmscv,1.0,
Anti-slavery works. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00120,PROPOSED,Anti-slavery works,rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00120,0.0,
Antislavery literature Boston 1860. rbgenr,REVIEW,,Boston 1860. rbgenr,0.0,
Antislavery literature New York (State) New York 1856. rbgenr,REVIEW,,New York (State) New York 1856. rbgenr,0.0,
Antislavery literature New York (State) New York 1856. rbmscv,REVIEW,,Antislavery literature New York (State) New York 1856. rbmscv,0.0,
Antislavery literature United States. rbgenr,REVIEW,,Antislavery literature United States. rbgenr,0.0,
Antislavery literature. rbgenr,REVIEW,,. rbgenr,0.0,
Aphorisms and Proverbs,PROPOSED,Proverbs,Aphorisms and,0.0,
Arak (Paper) rbmscv,REVIEW,,Arak (Paper) rbmscv,0.0,
Archer and Victorian (Paper) rbmscv,REVIEW,,Archer and Victorian (Paper) rbmscv,0.0,
Archer and Victorian (Paper) rbpap,REVIEW,,rbpap,0.0,
Armorial bindings (Binding) 17th century. rbbin MMeT,PROPOSED,Armorial bindings,(Binding) 17th century. rbbin MMeT,0.0,
Armorial bindings (Binding) rbbin MMeT,PROPOSED,Armorial bindings,(Binding) rbbin MMeT,0.0,
Armorial bindings (Provenance) 16th century rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) 16th century rbprov MMeT,0.95,
Armorial bindings (Provenance) 17th century rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) 17th century rbprov MMeT,0.0,
Armorial bindings (Provenance) 17th century. rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) 17th century. rbprov MMeT,0.9,
Armorial bindings (Provenance) 18th century rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) 18th century rbprov MMeT,0.0,
Armorial bindings (Provenance) 18th century. rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) 18th century. rbprov MMeT,0.0,
Armorial bindings (Provenance) 19th century rbprov MMeT,PROPOSED,Armorial bindings,"(Provenance), 19th century, rbprov, MMeT",0.95,
Armorial bindings (Provenance) 19th century. rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) 19th century. rbprov MMeT,0.0,
Armorial bindings (Provenance) France 17th century rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) France 17th century rbprov MMeT,0.0,
Armorial bindings (Provenance) France Paris 18th century rbprov MMeT,PROPOSED,Armorial bindings,(Provenance) France Paris 18th century rbprov MMeT,0.9,
Armorial bindings. rbmscv NjP,PROPOSED,Armorial bindings,rbmscv NjP,0.0,
Armorial bookplates (Provenance) England London. rbprov MMeT,PROPOSED,Armorial bookplates,(Provenance) England London. rbprov MMeT,0.0,
Armorial bookplates (Provenance) rbbin MMeT,PROPOSED,Armorial bookplates,(Provenance) rbbin MMeT,0.0,
Armorial bookplates (Provenance) rbprov,PROPOSED,Armorial bookplates,(Provenance) rbprov,0.0,
Armorial bookplates (Provenance) rbprov MMeT,PROPOSED,Armorial bookplates,(Provenance) rbprov MMeT,0.95,
