original	status	updated_term	extraneous_text	confidence	error
Almanacs Pennsylvania 1797. rbgenr	PROPOSED	Almanacs	Pennsylvania 1797. rbgenr	1.0	
Almanacs Pennsylvania 1798. rbgenr	PROPOSED	Almanacs	Pennsylvania 1798. rbgenr	1.0	
Almanacs Rhode Island 1771. rbgenr	PROPOSED	Almanacs	Rhode Island 1771. rbgenr	1.0	
Almanacs Rhode Island 1781. rbgenr	PROPOSED	Almanacs	Rhode Island 1781. rbgenr	1.0	
Almanacs Rhode Island 1786. rbgenr	PROPOSED	Almanacs	Rhode Island 1786. rbgenr	1.0	
Almanacs Rhode Island 1788. rbgenr	PROPOSED	Almanacs	Rhode Island 1788. rbgenr	1.0	
Almanacs Rhode Island 1790. rbgenr	PROPOSED	Almanacs	Rhode Island 1790. rbgenr	1.0	
Almanacs Rhode Island 1792. rbgenr	PROPOSED	Almanacs	Rhode Island 1792. rbgenr	1.0	
Almanacs Rhode Island 1793. rbgenr	PROPOSED	Almanacs	Rhode Island 1793. rbgenr	1.0	
Almanacs Rhode Island 1794. rbgenr	PROPOSED	Almanacs	Rhode Island 1794. rbgenr	1.0	
Almanacs Rhode Island 1796. rbgenr	PROPOSED	Almanacs	Rhode Island 1796. rbgenr	1.0	
Almanacs Rhode Island 1797. rbgenr	PROPOSED	Almanacs	Rhode Island 1797. rbgenr	1.0	
Almanacs Rhode Island 1800. rbgenr	PROPOSED	Almanacs	Rhode Island 1800. rbgenr	1.0	
Almanacs Rhode Island 1801. rbgenr	PROPOSED	Almanacs	Rhode Island 1801. rbgenr	1.0	
Almanacs South Carolina 1800. rbgenr	PROPOSED	Almanacs	South Carolina 1800. rbgenr	1.0	
Almanacs Vermont 1791. rbgenr	PROPOSED	Almanacs	Vermont 1791. rbgenr	1.0	
Almanacs Virginia 1732. rbgenr	PROPOSED	Almanacs	Virginia 1732. rbgenr	1.0	
Almanacs Virginia 1742. rbgenr	PROPOSED	Almanacs	Virginia 1742. rbgenr	1.0	
Almanacs Virginia 1765. rbgenr	PROPOSED	Almanacs	Virginia 1765. rbgenr	1.0	
Almanacs Virginia 1768. rbgenr	PROPOSED	Almanacs	Virginia 1768. rbgenr	1.0	
Almanacs Virginia 1779. rbgenr	PROPOSED	Almanacs	Virginia 1779. rbgenr	1.0	
Almanacs Virginia 1783. rbgenr	PROPOSED	Almanacs	Virginia 1783. rbgenr	1.0	
Almanacs Virginia 1784. rbgenr	PROPOSED	Almanacs	Virginia 1784. rbgenr	1.0	
Almanacs Virginia 1791. rbgenr	PROPOSED	Almanacs	Virginia 1791. rbgenr	1.0	
Almanacs Virginia 1793. rbgenr	PROPOSED	Almanacs	Virginia 1793. rbgenr	1.0	
Almanacs Virginia 1795. rbgenr	PROPOSED	Almanacs	Virginia 1795. rbgenr	1.0	
Almanacs Virginia 1796. rbgenr	PROPOSED	Almanacs	Virginia 1796. rbgenr	1.0	
Almanacs Virginia 1798. rbgenr	PROPOSED	Almanacs	Virginia 1798. rbgenr	1.0	
Alphabet books 1785. rbgenr	PROPOSED	Alphabet books	1785. rbgenr	1.0	
Alphabet books 1788. rbgenr	PROPOSED	Alphabet books	1788. rbgenr	1.0	
Alphabet books 1794. rbgenr	PROPOSED	Alphabet books	1794. rbgenr	1.0	
Alphabet books 1986. rbgenr	PROPOSED	Alphabet books	1986. rbgenr	1.0	
Alphabet books 1987. rbgenr	PROPOSED	Alphabet books	1987. rbgenr	1.0	
Anniversary sermons 1775. rbgenr	PROPOSED	Anniversary sermons	1775. rbgenr	1.0	
Anniversary sermons 1778. rbgenr	PROPOSED	Anniversary sermons	1778. rbgenr	1.0	
Annotations (Provenance) 20th century. rbprov MMeT	PROPOSED	Annotations	(Provenance) 20th century. rbprov MMeT	1.0	
Annotations 21st century. rbgenr	PROPOSED	Annotations	21st century. rbgenr	1.0	
Anti-Semitic literature United States New York 1921. rbgenr	REVIEW			0.0	term not in rbms_terms.json (use REVIEW)
Anti-slave trade literature United States. rbgenr	PROPOSED	Anti-slave trade works	United States. rbgenr	1.0	
Anti-woman suffrage literature 20th century. rbgenr	PROPOSED	Anti-women's suffrage works	20th century. rbgenr	1.0	
Anti-woman suffrage literature Massachusetts 20th century. rbgenr	PROPOSED	Anti-women's suffrage works	Massachusetts 20th century. rbgenr	1.0	
Antiphonaries. rbgenr	PROPOSED	Antiphonaries	rbgenr	1.0	
Antislavery literature United States 1839. rbgenr	PROPOSED	Anti-slavery works	United States 1839. rbgenr	1.0	
Arak (Paper) rbpap	REVIEW			0.0	'Arak (Paper)' not an exact rbms term; closest 'Paper' entries exist but not exact
Armorial bookplates (Provenance) England London 18th century. rbprov	PROPOSED	Armorial bookplates	(Provenance) England London 18th century. rbprov	1.0	
Armorial bookplates (Provenance) England London. rbprov MMeT	PROPOSED	Armorial bookplates	(Provenance) England London. rbprov MMeT	1.0	
Artillery election sermons 1698. rbgenr	PROPOSED	Artillery election sermons	1698. rbgenr	1.0	
Artillery election sermons 1699. rbgenr	PROPOSED	Artillery election sermons	1699. rbgenr	1.0	
Artillery election sermons 1700. rbgenr	PROPOSED	Artillery election sermons	1700. rbgenr	1.0	
Artillery election sermons 1795. rbgenr	PROPOSED	Artillery election sermons	1795. rbgenr	1.0	
Artillery election sermons 1799. rbgenr	PROPOSED	Artillery election sermons	1799. rbgenr	1.0	
Artist's books New York (State) Rochester. rbgenr	PROPOSED	Artists' books	New York (State) Rochester. rbgenr	1.0	
Artists' books 1976. rbgenr	PROPOSED	Artists' books	1976. rbgenr	1.0	
Artists' books Alabama 2014. rbgenr	PROPOSED	Artists' books	Alabama 2014. rbgenr	1.0	
Artists' books Arizona Tucson 2014. rbgenr	PROPOSED	Artists' books	Arizona Tucson 2014. rbgenr	1.0	
Artists' books Belgium (Charleroi) 2017. rbgenr	PROPOSED	Artists' books	Belgium (Charleroi) 2017. rbgenr	1.0	
Artists' books Belgium Brussels 2014. rbgenr	PROPOSED	Artists' books	Belgium Brussels 2014. rbgenr	1.0	
Artists' books California 1970-1979. rbgenr	PROPOSED	Artists' books	California 1970-1979. rbgenr	1.0	
Artists' books California 21st century rbgenr	PROPOSED	Artists' books	California 21st century rbgenr	1.0	
Artists' books California Berkeley 2015. rbgenr	PROPOSED	Artists' books	California Berkeley 2015. rbgenr	1.0	
Artists' books California Fullerton 1973. rbgenr	PROPOSED	Artists' books	California Fullerton 1973. rbgenr	1.0	
Artists' books California Los Angeles 2015. rbgenr	PROPOSED	Artists' books	California Los Angeles 2015. rbgenr	1.0	
Artists' books California Morgan Hill 21st century. rbgenr	PROPOSED	Artists' books	California Morgan Hill 21st century. rbgenr	1.0	
Artists' books California Oakland 21st century. rbgenr	PROPOSED	Artists' books	California Oakland 21st century. rbgenr	1.0	
Artists' books California Oakland rbgenr	PROPOSED	Artists' books	California Oakland rbgenr	1.0	
Artists' books California Pasadena 2009. rbgenr	PROPOSED	Artists' books	California Pasadena 2009. rbgenr	1.0	
Artists' books California Pasadena 2012. rbgenr	PROPOSED	Artists' books	California Pasadena 2012. rbgenr	1.0	
Artists' books California Redwood City 2013. rbgenr	PROPOSED	Artists' books	California Redwood City 2013. rbgenr	1.0	
Artists' books California Redwood City. rbgenr	PROPOSED	Artists' books	California Redwood City. rbgenr	1.0	
Artists' books California San Francisco 2012. rbgenr	PROPOSED	Artists' books	California San Francisco 2012. rbgenr	1.0	
Artists' books Canada. rbgenr	PROPOSED	Artists' books	Canada. rbgenr	1.0	
Artists' books Chile 1990-1999. rbgenr	PROPOSED	Artists' books	Chile 1990-1999. rbgenr	1.0	
Artists' books Chile 21st century. rbgenr	PROPOSED	Artists' books	Chile 21st century. rbgenr	1.0	
Artists' books Chile Santiago. rbgenr	PROPOSED	Artists' books	Chile Santiago. rbgenr	1.0	
Artists' books Cuba 2009. rbgenr	PROPOSED	Artists' books	Cuba 2009. rbgenr	1.0	
Artists' books England 1990. rbgenr	PROPOSED	Artists' books	England 1990. rbgenr	1.0	
Artists' books England London 1990. rbgenr	PROPOSED	Artists' books	England London 1990. rbgenr	1.0	
Artists' books England London 2001. rbgenr	PROPOSED	Artists' books	England London 2001. rbgenr	1.0	
Artists' books Florida Dania Beach. rbgenr	PROPOSED	Artists' books	Florida Dania Beach. rbgenr	1.0	
Artists' books Florida Gainesville 2015. rbgenr	PROPOSED	Artists' books	Florida Gainesville 2015. rbgenr	1.0	
Artists' books Florida Gainesville 21st century. rbgenr	PROPOSED	Artists' books	Florida Gainesville 21st century. rbgenr	1.0	
Artists' books Florida Tallahassee 2013. rbgenr	PROPOSED	Artists' books	Florida Tallahassee 2013. rbgenr	1.0	
Artists' books Georgia 2021. rbgenr	PROPOSED	Artists' books	Georgia 2021. rbgenr	1.0	
Artists' books Germany 2015. rbgenr	PROPOSED	Artists' books	Germany 2015. rbgenr	1.0	
Artists' books Germany 2017. rbgenr	PROPOSED	Artists' books	Germany 2017. rbgenr	1.0	
Artists' books Germany 2019. rbgenr	PROPOSED	Artists' books	Germany 2019. rbgenr	1.0	
Artists' books Germany Cologne 1970. rbgenr	PROPOSED	Artists' books	Germany Cologne 1970. rbgenr	1.0	
Artists' books Illinois 2000-2009. rbgenr	PROPOSED	Artists' books	Illinois 2000-2009. rbgenr	1.0	
Artists' books Illinois Chicago 2013. rbgenr	PROPOSED	Artists' books	Illinois Chicago 2013. rbgenr	1.0	
Artists' books India. rbgenr	PROPOSED	Artists' books	India. rbgenr	1.0	
Artists' books Ireland. rbgenr	PROPOSED	Artists' books	Ireland. rbgenr	1.0	
Artists' books Italy 1985. rbgenr	PROPOSED	Artists' books	Italy 1985. rbgenr	1.0	
Artists' books Italy 2019. rbgenr	PROPOSED	Artists' books	Italy 2019. rbgenr	1.0	
Artists' books Italy Bologna 1989. rbgenr	PROPOSED	Artists' books	Italy Bologna 1989. rbgenr	1.0	
Artists' books Italy Bologna 1998. rbgenr	PROPOSED	Artists' books	Italy Bologna 1998. rbgenr	1.0	
Artists' books Italy. rbgenr	PROPOSED	Artists' books	Italy. rbgenr	1.0	
Artists' books Japan 21st century. rbgenr	PROPOSED	Artists' books	Japan 21st century. rbgenr	1.0	
Artists' books Japan Kitakyushu 1999. rbgenr	PROPOSED	Artists' books	Japan Kitakyushu 1999. rbgenr	1.0	
Artists' books Maryland Silver Spring. rbgenr	PROPOSED	Artists' books	Maryland Silver Spring. rbgenr	1.0	
Artists' books Massachusetts Boston 2012. rbgenr	PROPOSED	Artists' books	Massachusetts Boston 2012. rbgenr	1.0	
Artists' books Massachusetts Boston 2014. rbgenr	PROPOSED	Artists' books	Massachusetts Boston 2014. rbgenr	1.0	
Artists' books Massachusetts Northampton 2021. rbgenr	PROPOSED	Artists' books	Massachusetts Northampton 2021. rbgenr	1.0	
