original,status,updated_term,extraneous_text,confidence,error
Advertisements Dry-goods. rbgenr,PROPOSED,Advertisements,Dry-goods. rbgenr,0.8,
Advertisements England Cambridge 20th century. rbgenr,PROPOSED,Advertisements,England Cambridge 20th century. rbgenr,1.0,
Advertisements England Leeds 19th century. rbgenr,PROPOSED,Advertisements,England Leeds 19th century. rbgenr,0.8,
Advertisements England Leeds 19th century. rbmscv,PROPOSED,Advertisements,England Leeds 19th century. rbmscv,0.8,
Advertisements England London 17th century. rbmscv,PROPOSED,Advertisements,England London 17th century. rbmscv,0.95,
Advertisements England London 1855. rbgenr,PROPOSED,Advertisements,England London 1855. rbgenr,0.0,
Advertisements England London 18th century. rbgenr,PROPOSED,Advertisements,England London 18th century. rbgenr,0.95,
Advertisements England London 19th century. rbgenr,PROPOSED,Advertisements,England London 19th century. rbgenr,0.8,
Advertisements England London 19th century. rbgenr PU,PROPOSED,Advertisements,England London 19th century. rbgenr PU,0.8,
Advertisements England London 19th century. rbmscv,PROPOSED,Advertisements,England London 19th century. rbmscv,0.8,
Advertisements England London 20th century. rbgenr,PROPOSED,Advertisements,England London 20th century. rbgenr,1.0,
Advertisements England London 20th century. rbmscv,PROPOSED,Advertisements,England London 20th century. rbmscv,0.8,
Advertisements Exhibitions. rbgenr,CHANGED,,Exhibitions. rbgenr,0.0,
Advertisements Exhibitions. rbmscv,DELETED,,Exhibitions. rbmscv,0.0,
Advertisements Fairs. rbgenr,PROPOSED,Advertisements,Fairs. rbgenr,0.95,
Advertisements Footwear. rbgenr,REVIEW,,Footwear,0.0,
Advertisements France Paris 19th century. rbgenr,PROPOSED,Advertisements,France Paris 19th century. rbgenr,0.8,
Advertisements France Paris 19th century. rbmscv,PROPOSED,Advertisements,France Paris 19th century. rbmscv,0.8,
Advertisements Germany Hamburg 20th century. rbgenr,PROPOSED,Advertisements,Germany Hamburg 20th century. rbgenr,1.0,
Advertisements Germany Munich 20th century. rbgenr,PROPOSED,Advertisements,Germany Munich 20th century. rbgenr,1.0,
Advertisements Germany Munich 20th century. rbmscv,PROPOSED,Advertisements,Germany Munich 20th century. rbmscv,1.0,
Advertisements Great Britain London 20th century. rbgenr,PROPOSED,Advertisements,Great Britain London 20th century. rbgenr,1.0,
Advertisements Great Britain London 20th century. rbmscv,PROPOSED,Advertisements,Great Britain London 20th century. rbmscv,1.0,
Advertisements Hardware. rbgenr,CHANGED,,Hardware. rbgenr,0.0,
Advertisements Illinois Chicago 19th century. rbgenr,PROPOSED,Advertisements,Illinois Chicago 19th century. rbgenr,0.8,
Advertisements Illinois Chicago 19th century. rbmscv,PROPOSED,Advertisements,Illinois Chicago 19th century. rbmscv,0.8,
Advertisements Ink. rbgenr,PROPOSED,Advertisements,Ink.,0.85,
Advertisements Iron. rbgenr,PROPOSED,Advertisements,Iron.,0.85,
Advertisements Jewelry. rbgenr,DELETED,,Jewelry. rbgenr,0.0,
Advertisements Libraries. rbgenr,PROPOSED,Advertisements,Libraries.,0.95,
Advertisements Lotteries. rbgenr,DELETED,,Lotteries. rbgenr,0.0,
Advertisements Maryland Baltimore 1932. rbgenr,PROPOSED,Advertisements,Maryland Baltimore 1932. rbgenr,0.8,
Advertisements Massachusetts Boston 19th century. rbgenr,PROPOSED,Advertisements,Massachusetts Boston 19th century. rbgenr,0.8,
Advertisements Massachusetts Boston 19th century. rbmscv,PROPOSED,Advertisements,Massachusetts Boston 19th century. rbmscv,0.8,
Advertisements Massachusetts Boston 20th century. rbgenr,PROPOSED,Advertisements,Massachusetts Boston 20th century. rbgenr,1.0,
Advertisements Massachussets Boston 19th century. rbgenr,PROPOSED,Advertisements,Massachussets Boston 19th century. rbgenr,0.8,
Advertisements New Jersey Newark 20th century. rbgenr,PROPOSED,Advertisements,New Jersey Newark 20th century. rbgenr,1.0,
Advertisements New York (State) 19th century. rbmscv,PROPOSED,Advertisements,"New York (State), 19th century, rbmscv",0.85,
Advertisements New York (State) 20th century. rbmscv,PROPOSED,Advertisements,New York (State) 20th century. rbmscv,1.0,
Advertisements New York (State) New York 1993. rbgenr,PROPOSED,Advertisements,New York (State) New York 1993. rbgenr,0.8,
Advertisements New York (State) New York 1997. rbgenr,PROPOSED,Advertisements,New York (State) New York 1997. rbgenr,0.8,
Advertisements New York (State) New York 19th century. rbgenr,PROPOSED,Advertisements,"New York, 19th century. rbgenr",0.85,
Advertisements New York (State) New York 19th century. rbmscv,PROPOSED,Advertisements,"New York, 19th century. rbmscv",0.8,
Advertisements New York (State) New York 20th century. rbgenr,PROPOSED,Advertisements,"New York, 20th century. rbgenr",1.0,
Advertisements New York 19th century. rbgenr,PROPOSED,Advertisements,New York 19th century. rbgenr,0.8,
Advertisements New York 20th century. rbgenr,PROPOSED,Advertisements,New York 20th century. rbgenr,1.0,
Advertisements New York New York 19th century. rbgenr,PROPOSED,Advertisements,New York New York 19th century. rbgenr,0.8,
Advertisements New York New York 20th century. rbgenr,PROPOSED,Advertisements,New York New York 20th century. rbgenr,1.0,
Advertisements New York Oneida 19th century. rbgenr,PROPOSED,Advertisements,New York Oneida 19th century. rbgenr,0.8,
Advertisements Newspapers. rbgenr,PROPOSED,Newspapers,Advertisements,0.95,
Advertisements Ohio Cincinnati 19th century. rbgenr,PROPOSED,Advertisements,Ohio Cincinnati 19th century. rbgenr,0.8,
Advertisements Painting. rbgenr,PROPOSED,Advertisements,Painting. rbgenr,0.95,
Advertisements Paper-making and trade. rbgenr,PROPOSED,Advertisements,Paper-making and trade. rbgenr,0.95,
Advertisements Patent medicines. rbgenr,PROPOSED,Advertisements,Patent medicines.,0.95,
Advertisements Pennsylvania Philadelphia 19th century. rbgenr,PROPOSED,Advertisements,Pennsylvania Philadelphia 19th century. rbgenr,0.8,
Advertisements Pennsylvania Philadelphia 19th century. rbmscv,PROPOSED,Advertisements,Pennsylvania Philadelphia 19th century. rbmscv,0.8,
Advertisements Pennsylvania Philadelphia 20th century. rbgenr,PROPOSED,Advertisements,Pennsylvania Philadelphia 20th century. rbgenr,1.0,
Advertisements Pennsylvania Philadelphia 20th century. rbmscv,PROPOSED,Advertisements,Pennsylvania Philadelphia 20th century. rbmscv,1.0,
Advertisements Plants. rbgenr,PROPOSED,Advertisements,Plants.,0.95,
Advertisements Postal service. rbgenr,PROPOSED,Advertisements,Postal service.,0.95,
Advertisements Printing. rbgenr,PROPOSED,Printing order,Advertisements,0.95,
Advertisements Real property. rbgenr,DELETED,,Real property.,0.0,
Advertisements Scotland Glasgow 20th century. rbgenr,PROPOSED,Advertisements,Scotland Glasgow 20th century. rbgenr,1.0,
Advertisements Scotland Glasgow 20th century. rbmscv,PROPOSED,Advertisements,Scotland Glasgow 20th century. rbmscv,1.0,
Advertisements Seeds. rbgenr,PROPOSED,Advertisements,Seeds. rbgenr,0.95,
Advertisements Shipping. rbgenr,CHANGED,,Shipping. rbgenr,0.0,
Advertisements Spain Madrid 20th century. rbgenr,PROPOSED,Advertisements,Spain Madrid 20th century. rbgenr,1.0,
Advertisements Stationery. rbgenr,PROPOSED,Advertisements,Stationery. rbgenr,0.95,
Advertisements Stocks. rbgenr,PROPOSED,Advertisements,Stocks.,0.85,
Advertisements Stocks. rbmscv,REVIEW,,Stocks.,0.0,
Advertisements Switzerland Zürich 20th century. rbgenr,PROPOSED,Advertisements,Switzerland Zürich 20th century. rbgenr,1.0,
Advertisements Taverns (Inns) rbgenr,PROPOSED,Advertisements,Taverns (Inns),0.95,
Advertisements United States 20th century. rbgenr,PROPOSED,Advertisements,United States 20th century. rbgenr,0.8,
Advertisements United States Boston 19th century. rbgenr,PROPOSED,Advertisements,United States Boston 19th century. rbgenr,0.8,
Advertisements United States Boston 19th century. rbmscv,PROPOSED,Advertisements,United States Boston 19th century. rbmscv,0.8,
Advertisements United States Boston 20th century. rbgenr,PROPOSED,Advertisements,United States Boston 20th century. rbgenr,1.0,
Advertisements United States Boston 20th century. rbmscv,PROPOSED,Advertisements,United States Boston 20th century. rbmscv,1.0,
Advertisements United States New York 19th century. rbgenr,PROPOSED,Advertisements,United States New York 19th century. rbgenr,0.8,
Advertisements United States New York 19th century. rbmscv,PROPOSED,Advertisements,United States New York 19th century. rbmscv,0.8,
Advertisements United States New York 20th century. rbgenr,PROPOSED,Advertisements,United States New York 20th century. rbgenr,1.0,
Advertisements United States Pasadena 20th century. rbgenr,PROPOSED,Advertisements,United States Pasadena 20th century. rbgenr,1.0,
Advertisements United States Pasadena 20th century. rbmscv,PROPOSED,Advertisements,United States Pasadena 20th century. rbmscv,1.0,
Advertisements. rbgenr,PROPOSED,Advertisements,rbgenr,0.95,
Advertisements. rbmscv,PROPOSED,Advertisements,rbmscv,0.95,
Advertisemnets New York (State) 20th century. rbmscv,REVIEW,,Advertisemnets New York (State) 20th century. rbmscv Limitation statements Half century sermons Century sermons,0.0,
Advertisemnts United States New York 20th century. rbgenr,CHANGED,,Half century sermons,0.0,
Advertisemnts United States New York 20th century. rbmscv,PROPOSED,Century sermons,Advertisemnts United States New York 20th century.,0.85,
Advertisments (Publishing) rbpub,CHANGED,,rbpub,0.0,
Advertisments Germany Munich 20th century. rbgenr,PROPOSED,Century sermons,Germany Munich 20th century. rbgenr,0.8,
Allegories. rbgenr,PROPOSED,Allegories,. rbgenr,0.0,
Almanacs Connecticut 1756. rbgenr,PROPOSED,Almanacs,Connecticut 1756. rbgenr,0.0,
Almanacs Connecticut 1757. rbgenr,PROPOSED,Almanacs,Connecticut 1757. rbgenr,0.0,
Almanacs Connecticut 1758. rbgenr,PROPOSED,Almanacs,Connecticut 1758. rbgenr,0.0,
Almanacs Connecticut 1768. rbgenr,PROPOSED,Almanacs,Connecticut 1768. rbgenr,0.0,
Almanacs Connecticut 1769. rbgenr,PROPOSED,Almanacs,Connecticut 1769. rbgenr,0.0,
Almanacs Connecticut 1770. rbgenr,PROPOSED,Almanacs,Connecticut 1770. rbgenr,0.0,
Almanacs Connecticut 1771. rbgenr,PROPOSED,Almanacs,Connecticut 1771. rbgenr,0.0,
Almanacs Connecticut 1772. rbgenr,PROPOSED,Almanacs,Connecticut 1772. rbgenr,0.0,
Almanacs Connecticut 1773. rbgenr,PROPOSED,Almanacs,Connecticut 1773. rbgenr,0.0,
Almanacs Connecticut 1774. rbgenr,PROPOSED,Almanacs,Connecticut 1774. rbgenr,0.0,
Almanacs Connecticut 1782. rbgenr,PROPOSED,Almanacs,Connecticut 1782. rbgenr,0.0,
Almanacs Connecticut 1783. rbgenr,PROPOSED,Almanacs,Connecticut 1783. rbgenr,0.0,
Almanacs Connecticut 1788. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Connecticut 1789. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Connecticut 1790. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Connecticut 1791. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Connecticut 1799. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Connecticut 1800. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs District of Columbia 1798. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs England London 17th century Manuscripts Facsimiles. rbgenr,PROPOSED,Pen facsimiles,"Half century sermons, 17th century, England, London, Manuscripts, rbgenr",0.85,
Almanacs Maryland 1797. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1685. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1690. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1691. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1692. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1693. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1696. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1697. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1698. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1699. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1702. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1706. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1707. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1709. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1710. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1711. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1712. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1713. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1715. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1716. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1717. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1718. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1719. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1720. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1721. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1722. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1723. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1751. rbgenr,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Almanacs Massachusetts 1755. rbgenr,PROPOSED,Almanacs,Massachusetts 1755. rbgenr,0.0,
Almanacs Massachusetts 1760. rbgenr,PROPOSED,Almanacs,Massachusetts 1760. rbgenr,0.0,
Almanacs Massachusetts 1761. rbgenr,PROPOSED,Almanacs,Massachusetts 1761. rbgenr,0.0,
Almanacs Massachusetts 1762. rbgenr,PROPOSED,Almanacs,Massachusetts 1762. rbgenr,0.0,
Almanacs Massachusetts 1764. rbgenr,PROPOSED,Almanacs,Massachusetts 1764. rbgenr,0.0,
Almanacs Massachusetts 1765. rbgenr,PROPOSED,Almanacs,Massachusetts 1765. rbgenr,0.0,
Almanacs Massachusetts 1766. rbgenr,PROPOSED,Almanacs,Massachusetts 1766. rbgenr,0.0,
Almanacs Massachusetts 1767. rbgenr,PROPOSED,Almanacs,Massachusetts 1767. rbgenr,0.0,
Almanacs Massachusetts 1769. rbgenr,PROPOSED,Almanacs,Massachusetts 1769. rbgenr,0.0,
Almanacs Massachusetts 1770. rbgenr,PROPOSED,Almanacs,Massachusetts 1770. rbgenr,0.0,
Almanacs Massachusetts 1771. rbgenr,PROPOSED,Almanacs,Massachusetts 1771. rbgenr,0.0,
Almanacs Massachusetts 1772. rbgenr,PROPOSED,Almanacs,Massachusetts 1772. rbgenr,0.0,
Almanacs Massachusetts 1773. rbgenr,PROPOSED,Almanacs,Massachusetts 1773. rbgenr,0.0,
Almanacs Massachusetts 1774. rbgenr,PROPOSED,Almanacs,Massachusetts 1774. rbgenr,0.0,
Almanacs Massachusetts 1775. rbgenr,PROPOSED,Almanacs,Massachusetts 1775. rbgenr,0.0,
Almanacs Massachusetts 1776. rbgenr,PROPOSED,Almanacs,Massachusetts 1776. rbgenr,0.0,
Almanacs Massachusetts 1777. rbgenr,PROPOSED,Almanacs,Massachusetts 1777. rbgenr,0.0,
Almanacs Massachusetts 1779. rbgenr,PROPOSED,Almanacs,Massachusetts 1779. rbgenr,0.0,
Almanacs Massachusetts 1780. rbgenr,PROPOSED,Almanacs,Massachusetts 1780. rbgenr,0.0,
Almanacs Massachusetts 1781. rbgenr,PROPOSED,Almanacs,Massachusetts 1781. rbgenr,0.0,
Almanacs Massachusetts 1782. rbgenr,PROPOSED,Almanacs,Massachusetts 1782. rbgenr,0.0,
Almanacs Massachusetts 1783. rbgenr,PROPOSED,Almanacs,Massachusetts 1783. rbgenr,0.0,
Almanacs Massachusetts 1784. rbgenr,PROPOSED,Almanacs,Massachusetts 1784. rbgenr,0.0,
Almanacs Massachusetts 1785. rbgenr,PROPOSED,Almanacs,Massachusetts 1785. rbgenr,0.0,
Almanacs Massachusetts 1786. rbgenr,PROPOSED,Almanacs,Massachusetts 1786. rbgenr,0.0,
Almanacs Massachusetts 1787. rbgenr,PROPOSED,Almanacs,Massachusetts 1787. rbgenr,0.0,
Almanacs Massachusetts 1788. rbgenr,PROPOSED,Almanacs,Massachusetts 1788. rbgenr,0.0,
Almanacs Massachusetts 1789. rbgenr,PROPOSED,Almanacs,Massachusetts 1789. rbgenr,0.0,
Almanacs Massachusetts 1790. rbgenr,PROPOSED,Almanacs,Massachusetts 1790. rbgenr,0.0,
Almanacs Massachusetts 1791. rbgenr,PROPOSED,Almanacs,Massachusetts 1791. rbgenr,0.0,
Almanacs Massachusetts 1792. rbgenr,PROPOSED,Almanacs,Massachusetts 1792. rbgenr,0.0,
Almanacs Massachusetts 1793. rbgenr,PROPOSED,Almanacs,Massachusetts 1793. rbgenr,0.0,
Almanacs Massachusetts 1794. rbgenr,PROPOSED,Almanacs,Massachusetts 1794. rbgenr,0.0,
Almanacs Massachusetts 1795. rbgenr,PROPOSED,Almanacs,Massachusetts 1795. rbgenr,0.0,
Almanacs Massachusetts 1796. rbgenr,PROPOSED,Almanacs,Massachusetts 1796. rbgenr,0.0,
Almanacs Massachusetts 1797. rbgenr,PROPOSED,Almanacs,Massachusetts 1797. rbgenr,0.0,
Almanacs Massachusetts 1799. rbgenr,PROPOSED,Almanacs,Massachusetts 1799. rbgenr,0.0,
Almanacs Massachusetts 19th century. rbgenr,PROPOSED,Almanacs,Massachusetts 19th century. rbgenr,0.8,
Almanacs New Hampshire 1759. rbgenr,PROPOSED,Almanacs,New Hampshire 1759. rbgenr,0.0,
Almanacs New Hampshire 1771. rbgenr,PROPOSED,Almanacs,New Hampshire 1771. rbgenr,0.0,
Almanacs New Hampshire 1788. rbgenr,PROPOSED,Almanacs,New Hampshire 1788. rbgenr,0.0,
Almanacs New Hampshire 1796. rbgenr,PROPOSED,Almanacs,New Hampshire 1796. rbgenr,0.0,
Almanacs New Jersey 1787. rbgenr,PROPOSED,Almanacs,New Jersey 1787. rbgenr,0.0,
Almanacs New Jersey 1789. rbgenr,PROPOSED,Almanacs,New Jersey 1789. rbgenr,0.0,
Almanacs New Jersey 1798. rbgenr,PROPOSED,Almanacs,New Jersey 1798. rbgenr,0.0,
Almanacs New Jersey 1799. rbgenr,PROPOSED,Almanacs,New Jersey 1799. rbgenr,0.0,
Almanacs New Jersey 1800. rbgenr,PROPOSED,Almanacs,New Jersey 1800. rbgenr,0.0,
Almanacs New York (State) 1694. rbgenr,PROPOSED,Almanacs,New York (State) 1694. rbgenr,0.0,
Almanacs New York (State) 1695. rbgenr,PROPOSED,Almanacs,New York (State) 1695. rbgenr,0.8,
Almanacs New York (State) 1696. rbgenr,PROPOSED,Almanacs,New York (State) 1696. rbgenr,0.8,
Almanacs New York (State) 1698. rbgenr,PROPOSED,Almanacs,New York (State) 1698. rbgenr,0.0,
Almanacs New York (State) 1699. rbgenr,PROPOSED,Almanacs,New York (State) 1699. rbgenr,0.8,
