655 - Local Param 04,id,original,status,updated_term,extraneous_text,confidence,error
Advertisements England London 19th century. rbgenr,56,Advertisements England London 19th century. rbgenr,,Advertisements,"England London 19th century, rbgenr",0.88,
Advertisements England London 19th century. rbmscv,57,Advertisements England London 19th century. rbmscv,,Advertisements,"England London 19th century, rbmscv",0.88,
Advertisements England London 20th century. rbgenr,58,Advertisements England London 20th century. rbgenr,,Advertisements,"England London 20th century, rbgenr",0.88,
Advertisements England London 20th century. rbmscv,59,Advertisements England London 20th century. rbmscv,,Advertisements,"England London 20th century, rbmscv",0.88,
Advertisements Exhibitions. rbgenr,60,Advertisements Exhibitions. rbgenr,,Advertisements,"Exhibitions, rbgenr",1.0,
Advertisements Exhibitions. rbmscv,61,Advertisements Exhibitions. rbmscv,,Advertisements,"Exhibitions, rbmscv",1.0,
Advertisements Fairs. rbgenr,62,Advertisements Fairs. rbgenr,,Advertisements,"Fairs, rbgenr",1.0,
Advertisements Footwear. rbgenr,63,Advertisements Footwear. rbgenr,,Advertisements,"Footwear, rbgenr",0.9,
Advertisements France Paris 19th century. rbgenr,64,Advertisements France Paris 19th century. rbgenr,,Advertisements,"France Paris 19th century, rbgenr",0.88,
Advertisements France Paris 19th century. rbmscv,65,Advertisements France Paris 19th century. rbmscv,,Advertisements,"France Paris 19th century, rbmscv",0.88,
Advertisements Germany Munich 20th century. rbmscv,66,Advertisements Germany Munich 20th century. rbmscv,,Advertisements,"Germany Munich 20th century, rbmscv",0.88,
Advertisements Great Britain London 20th century. rbgenr,67,Advertisements Great Britain London 20th century. rbgenr,,Advertisements,"Great Britain London 20th century, rbgenr",0.88,
Advertisements Great Britain London 20th century. rbmscv,68,Advertisements Great Britain London 20th century. rbmscv,,Advertisements,"Great Britain London 20th century, rbmscv",0.88,
Advertisements Hardware. rbgenr,69,Advertisements Hardware. rbgenr,,Advertisements,"Hardware, rbgenr",0.9,
Advertisements Illinois Chicago 19th century. rbmscv,70,Advertisements Illinois Chicago 19th century. rbmscv,,Advertisements,"Illinois Chicago 19th century, rbmscv",0.88,
Advertisements Iron. rbgenr,71,Advertisements Iron. rbgenr,,Advertisements,"Iron, rbgenr",0.9,
Advertisements Jewelry. rbgenr,72,Advertisements Jewelry. rbgenr,,Advertisements,"Jewelry, rbgenr",0.9,
Advertisements Libraries. rbgenr,73,Advertisements Libraries. rbgenr,,Advertisements,"Libraries, rbgenr",0.9,
Advertisements Lotteries. rbgenr,74,Advertisements Lotteries. rbgenr,,Advertisements,"Lotteries, rbgenr",0.9,
Advertisements Maryland Baltimore 1932. rbgenr,75,Advertisements Maryland Baltimore 1932. rbgenr,,Advertisements,"Maryland Baltimore 1932, rbgenr",0.87,
Advertisements Massachusetts Boston 19th century. rbgenr,76,Advertisements Massachusetts Boston 19th century. rbgenr,,Advertisements,"Massachusetts Boston 19th century, rbgenr",0.88,
Advertisements Massachusetts Boston 19th century. rbmscv,77,Advertisements Massachusetts Boston 19th century. rbmscv,,Advertisements,"Massachusetts Boston 19th century, rbmscv",0.88,
Advertisements Massachussets Boston 19th century. rbgenr,78,Advertisements Massachussets Boston 19th century. rbgenr,,Advertisements,"Massachussets Boston 19th century, rbgenr",0.75,typo in original (Massachussets)
Advertisements New Jersey Newark 20th century. rbgenr,79,Advertisements New Jersey Newark 20th century. rbgenr,,Advertisements,"New Jersey Newark 20th century, rbgenr",0.88,
Advertisements New York (State) 19th century. rbmscv,80,Advertisements New York (State) 19th century. rbmscv,,Advertisements,"New York (State) 19th century, rbmscv",0.88,
Advertisements New York (State) 20th century. rbmscv,81,Advertisements New York (State) 20th century. rbmscv,,Advertisements,"New York (State) 20th century, rbmscv",0.88,
Advertisements New York (State) New York 19th century. rbmscv,82,Advertisements New York (State) New York 19th century. rbmscv,,Advertisements,"New York (State) New York 19th century, rbmscv",0.88,
Advertisements New York 19th century. rbgenr,83,Advertisements New York 19th century. rbgenr,,Advertisements,"New York 19th century, rbgenr",0.88,
Advertisements New York New York 19th century. rbgenr,84,Advertisements New York New York 19th century. rbgenr,,Advertisements,"New York New York 19th century, rbgenr",0.88,
Advertisements New York New York 20th century. rbgenr,85,Advertisements New York New York 20th century. rbgenr,,Advertisements,"New York New York 20th century, rbgenr",0.88,
Advertisements Newspapers. rbgenr,86,Advertisements Newspapers. rbgenr,,Advertisements,"Newspapers, rbgenr",1.0,
Advertisements Painting. rbgenr,87,Advertisements Painting. rbgenr,,Advertisements,"Painting, rbgenr",0.9,
Advertisements Paper-making and trade. rbgenr,88,Advertisements Paper-making and trade. rbgenr,,Advertisements,"Paper-making and trade, rbgenr",0.9,
Advertisements Patent medicines. rbgenr,89,Advertisements Patent medicines. rbgenr,,Advertisements,"Patent medicines, rbgenr",0.9,
Advertisements Pennsylvania Philadelphia 19th century. rbgenr,90,Advertisements Pennsylvania Philadelphia 19th century. rbgenr,,Advertisements,"Pennsylvania Philadelphia 19th century, rbgenr",0.88,
Advertisements Pennsylvania Philadelphia 19th century. rbmscv,91,Advertisements Pennsylvania Philadelphia 19th century. rbmscv,,Advertisements,"Pennsylvania Philadelphia 19th century, rbmscv",0.88,
Advertisements Pennsylvania Philadelphia 20th century. rbgenr,92,Advertisements Pennsylvania Philadelphia 20th century. rbgenr,,Advertisements,"Pennsylvania Philadelphia 20th century, rbgenr",0.88,
Advertisements Pennsylvania Philadelphia 20th century. rbmscv,93,Advertisements Pennsylvania Philadelphia 20th century. rbmscv,,Advertisements,"Pennsylvania Philadelphia 20th century, rbmscv",0.88,
Advertisements Plants. rbgenr,94,Advertisements Plants. rbgenr,,Advertisements,"Plants, rbgenr",0.9,
Advertisements Postal service. rbgenr,95,Advertisements Postal service. rbgenr,,Advertisements,"Postal service, rbgenr",0.9,
Advertisements Printing. rbgenr,96,Advertisements Printing. rbgenr,,Advertisements,"Printing, rbgenr",0.9,
Advertisements Real property. rbgenr,97,Advertisements Real property. rbgenr,,Advertisements,"Real property, rbgenr",0.9,
Advertisements Scotland Glasgow 20th century. rbmscv,98,Advertisements Scotland Glasgow 20th century. rbmscv,,Advertisements,"Scotland Glasgow 20th century, rbmscv",0.88,
Advertisements Shipping. rbgenr,99,Advertisements Shipping. rbgenr,,Advertisements,"Shipping, rbgenr",0.9,
Advertisements Stationery. rbgenr,100,Advertisements Stationery. rbgenr,,Advertisements,"Stationery, rbgenr",0.9,
Advertisements Stocks. rbgenr,101,Advertisements Stocks. rbgenr,,Advertisements,"Stocks, rbgenr",0.9,
Advertisements Stocks. rbmscv,102,Advertisements Stocks. rbmscv,,Advertisements,"Stocks, rbmscv",0.9,
Advertisements Taverns (Inns) rbgenr,103,Advertisements Taverns (Inns) rbgenr,,Advertisements,"Taverns (Inns), rbgenr",0.92,
Advertisements United States 20th century. rbgenr,104,Advertisements United States 20th century. rbgenr,,Advertisements,"United States 20th century, rbgenr",0.88,
Advertisements United States Boston 19th century. rbgenr,105,Advertisements United States Boston 19th century. rbgenr,,Advertisements,"United States Boston 19th century, rbgenr",0.88,
Advertisements United States Boston 19th century. rbmscv,106,Advertisements United States Boston 19th century. rbmscv,,Advertisements,"United States Boston 19th century, rbmscv",0.88,
Advertisements United States Boston 20th century. rbmscv,107,Advertisements United States Boston 20th century. rbmscv,,Advertisements,"United States Boston 20th century, rbmscv",0.88,
Advertisements United States New York 19th century. rbgenr,108,Advertisements United States New York 19th century. rbgenr,,Advertisements,"United States New York 19th century, rbgenr",0.88,
Advertisements United States New York 19th century. rbmscv,109,Advertisements United States New York 19th century. rbmscv,,Advertisements,"United States New York 19th century, rbmscv",0.88,
Advertisements United States New York 20th century. rbgenr,110,Advertisements United States New York 20th century. rbgenr,,Advertisements,"United States New York 20th century, rbgenr",0.88,
Advertisements United States Pasadena 20th century. rbgenr,111,Advertisements United States Pasadena 20th century. rbgenr,,Advertisements,"United States Pasadena 20th century, rbgenr",0.88,
Advertisements United States Pasadena 20th century. rbmscv,112,Advertisements United States Pasadena 20th century. rbmscv,,Advertisements,"United States Pasadena 20th century, rbmscv",0.88,
Advertisements. rbgenr,113,Advertisements. rbgenr,,Advertisements,rbgenr,1.0,
Advertisements. rbmscv,114,Advertisements. rbmscv,,Advertisements,rbmscv,1.0,
Advertisemnets New York (State) 20th century. rbmscv,115,Advertisemnets New York (State) 20th century. rbmscv,,Advertisements,"New York (State) 20th century, rbmscv",0.75,typo in original (Advertisemnets)
Advertisemnts United States New York 20th century. rbmscv,116,Advertisemnts United States New York 20th century. rbmscv,,Advertisements,"United States New York 20th century, rbmscv",0.75,typo in original (Advertisemnts)
Advertisments (Publishing) rbpub,117,Advertisments (Publishing) rbpub,,Advertisements,"(Publishing), rbpub",0.75,typo in original (Advertisments)
Advertisments Germany Munich 20th century. rbgenr,118,Advertisments Germany Munich 20th century. rbgenr,,Advertisements,"Germany Munich 20th century, rbgenr",0.75,typo in original (Advertisments)
Allegories. rbgenr,119,Allegories. rbgenr,,Allegories,rbgenr,1.0,
Almanacs England London 17th century Manuscripts Facsimiles. rbgenr,120,Almanacs England London 17th century Manuscripts Facsimiles. rbgenr,,Almanacs,"England London 17th century Manuscripts Facsimiles, rbgenr",0.88,
Almanacs Massachusetts 1770. rbgenr,121,Almanacs Massachusetts 1770. rbgenr,,Almanacs,"Massachusetts 1770, rbgenr",0.88,
Almanacs Massachusetts 1773. rbgenr,122,Almanacs Massachusetts 1773. rbgenr,,Almanacs,"Massachusetts 1773, rbgenr",0.88,
Almanacs Massachusetts 1777. rbgenr,123,Almanacs Massachusetts 1777. rbgenr,,Almanacs,"Massachusetts 1777, rbgenr",0.88,
Almanacs Massachusetts 1781. rbgenr,124,Almanacs Massachusetts 1781. rbgenr,,Almanacs,"Massachusetts 1781, rbgenr",0.88,
Almanacs Massachusetts 1791. rbgenr,125,Almanacs Massachusetts 1791. rbgenr,,Almanacs,"Massachusetts 1791, rbgenr",0.88,
Almanacs Massachusetts 1796. rbgenr,126,Almanacs Massachusetts 1796. rbgenr,,Almanacs,"Massachusetts 1796, rbgenr",0.88,
Almanacs Massachusetts 19th century. rbgenr,127,Almanacs Massachusetts 19th century. rbgenr,,Almanacs,"Massachusetts 19th century, rbgenr",0.88,
Almanacs New Hampshire 1788. rbgenr,128,Almanacs New Hampshire 1788. rbgenr,,Almanacs,"New Hampshire 1788, rbgenr",0.88,
Almanacs New York (State) 1759. rbgenr,129,Almanacs New York (State) 1759. rbgenr,,Almanacs,"New York (State) 1759, rbgenr",0.88,
Almanacs Pennsylvania 1687. rbgenr,130,Almanacs Pennsylvania 1687. rbgenr,,Almanacs,"Pennsylvania 1687, rbgenr",0.88,
Almanacs Pennsylvania 1793. rbgenr,131,Almanacs Pennsylvania 1793. rbgenr,,Almanacs,"Pennsylvania 1793, rbgenr",0.88,
Almanacs Pennsylvania 1795. rbgenr,132,Almanacs Pennsylvania 1795. rbgenr,,Almanacs,"Pennsylvania 1795, rbgenr",0.88,
Almanacs. rbgenr,133,Almanacs. rbgenr,,Almanacs,rbgenr,1.0,
Alphabet books 1785. rbmscv,134,Alphabet books 1785. rbmscv,,Alphabet books,"1785, rbmscv",0.88,
Alphabet books 1788. rbmscv,135,Alphabet books 1788. rbmscv,,Alphabet books,"1788, rbmscv",0.88,
Alphabet books 1944. rbgenr,136,Alphabet books 1944. rbgenr,,Alphabet books,"1944, rbgenr",0.88,
Alphabet books 1972. rbgenr,137,Alphabet books 1972. rbgenr,,Alphabet books,"1972, rbgenr",0.88,
Alphabet books 1973. rbgenr,138,Alphabet books 1973. rbgenr,,Alphabet books,"1973, rbgenr",0.88,
Alphabet books 1974. rbgenr,139,Alphabet books 1974. rbgenr,,Alphabet books,"1974, rbgenr",0.88,
Alphabet books 1989. rbgenr,140,Alphabet books 1989. rbgenr,,Alphabet books,"1989, rbgenr",0.88,
Alphabet books 1990. rbgenr,141,Alphabet books 1990. rbgenr,,Alphabet books,"1990, rbgenr",0.88,
Alphabet books 1995. rbgenr,142,Alphabet books 1995. rbgenr,,Alphabet books,"1995, rbgenr",0.88,
Alphabet books 2008. rbgenr,143,Alphabet books 2008. rbgenr,,Alphabet books,"2008, rbgenr",0.88,
Alphabet books Massachusetts Boston 2004. rbgenr,144,Alphabet books Massachusetts Boston 2004. rbgenr,,Alphabet books,"Massachusetts Boston 2004, rbgenr",0.88,
Alphabet books New York (State) New York 1974. rbgenr,145,Alphabet books New York (State) New York 1974. rbgenr,,Alphabet books,"New York (State) New York 1974, rbgenr",0.88,
Alphabet books. rbgenr,146,Alphabet books. rbgenr,,Alphabet books,rbgenr,1.0,
Alphabet books. rbmscv,147,Alphabet books. rbmscv,,Alphabet books,rbmscv,1.0,
Alphabet rhymes 1973. rbgenr,148,Alphabet rhymes 1973. rbgenr,,Alphabet rhymes,"1973, rbgenr",0.88,
Alphabet rhymes Massachusetts Boston 1987. rbgenr,149,Alphabet rhymes Massachusetts Boston 1987. rbgenr,,Alphabet rhymes,"Massachusetts Boston 1987, rbgenr",0.88,
Alphabets (Primers) 1787. rbgenr,150,Alphabets (Primers) 1787. rbgenr,,Primers (Instructional books),"Alphabets (Primers) 1787, rbgenr",0.8,
Alphabets (Primers) 1800. rbgenr,151,Alphabets (Primers) 1800. rbgenr,,Primers (Instructional books),"Alphabets (Primers) 1800, rbgenr",0.8,
Alum tawed thongs (Binding) rbbin,152,Alum tawed thongs (Binding) rbbin,,Thongs (Bindings),"Alum tawed thongs (Binding), rbbin",0.85,
Anatomical atlases rbgenr,153,Anatomical atlases rbgenr,,Anatomical atlases,rbgenr,1.0,
Anatomical atlases. rbgenr,154,Anatomical atlases. rbgenr,,Anatomical atlases,rbgenr,1.0,
Annotations (Provenance) 17th century. rbprov MMeT,155,Annotations (Provenance) 17th century. rbprov MMeT,,Annotations,"(Provenance) 17th century, rbprov, MMeT",0.9,
Annotations (Provenance) 18th century. rbprov MMeT,156,Annotations (Provenance) 18th century. rbprov MMeT,,Annotations,"(Provenance) 18th century, rbprov, MMeT",0.9,
Annotations (Provenance) rbprov,157,Annotations (Provenance) rbprov,,Annotations,"(Provenance), rbprov",0.95,
Annotations (Provenance) rbprov MMeT,158,Annotations (Provenance) rbprov MMeT,,Annotations,"(Provenance), rbprov, MMeT",0.95,
Annotations (Provenance). rbprov,159,Annotations (Provenance). rbprov,,Annotations,"(Provenance), rbprov",0.95,
Annotations (Provenance). rbprov,161,Annotations (Provenance). rbprov,,Annotations,"(Provenance), rbprov",0.95,
Annotations (Provenance). rbprov MMeT,160,Annotations (Provenance). rbprov MMeT,,Annotations,"(Provenance), rbprov, MMeT",0.95,
Annotations. rbmscv,162,Annotations. rbmscv,,Annotations,rbmscv,1.0,
Annotations. rbmscv MMeT,163,Annotations. rbmscv MMeT,,Annotations,"rbmscv, MMeT",0.92,
Annual reports. rbgenr,164,Annual reports. rbgenr,,Annual reports,rbgenr,1.0,
Anthologies California Los Angeles 20th century. rbgenr,165,Anthologies California Los Angeles 20th century. rbgenr,,Anthologies,"California Los Angeles 20th century, rbgenr",0.88,
Anthologies England 17th century. rbgenr,166,Anthologies England 17th century. rbgenr,,Anthologies,"England 17th century, rbgenr",0.88,
Anthologies England London 1965. rbgenr,167,Anthologies England London 1965. rbgenr,,Anthologies,"England London 1965, rbgenr",0.88,
Anthologies England London 1982. rbgenr,168,Anthologies England London 1982. rbgenr,,Anthologies,"England London 1982, rbgenr",0.88,
Anthologies England Oxford 1980. rbgenr,169,Anthologies England Oxford 1980. rbgenr,,Anthologies,"England Oxford 1980, rbgenr",0.88,
Anthologies Massachusetts Boston 1979. rbgenr,170,Anthologies Massachusetts Boston 1979. rbgenr,,Anthologies,"Massachusetts Boston 1979, rbgenr",0.88,
Anthologies New York (State) New York 1998. rbgenr,171,Anthologies New York (State) New York 1998. rbgenr,,Anthologies,"New York (State) New York 1998, rbgenr",0.88,
" Anthologies United States Civil War, 1861-1865. rbgenr",,,,,,,
Anthologies. rbgenr,173,Anthologies. rbgenr,,Anthologies,rbgenr,1.0,
Anthologies. rbmscv,174,Anthologies. rbmscv,,Anthologies,rbmscv,1.0,
Anti-communist literature. rbgenr,175,Anti-communist literature. rbgenr,,Anti-communist works,rbgenr,0.95,
Anti-Jewish works rbmscv,176,Anti-Jewish works rbmscv,,Anti-Jewish works,rbmscv,1.0,
Anti-Semitic literature Michigan Dearbon 1920 rbgenr,178,Anti-Semitic literature Michigan Dearbon 1920 rbgenr,,Anti-Jewish works,"Michigan Dearbon 1920, rbgenr",0.8,typo/variant (Anti-Semitic -> Anti-Jewish)
Antislavery literature Boston 1860. rbgenr,179,Antislavery literature Boston 1860. rbgenr,,Anti-slavery works,"Boston 1860, rbgenr",0.9,
Antislavery literature New York (State) New York 1856. rbgenr,180,Antislavery literature New York (State) New York 1856. rbgenr,,Anti-slavery works,"New York (State) New York 1856, rbgenr",0.9,
Antislavery literature New York (State) New York 1856. rbmscv,181,Antislavery literature New York (State) New York 1856. rbmscv,,Anti-slavery works,"New York (State) New York 1856, rbmscv",0.9,
Antislavery literature United States. rbgenr,182,Antislavery literature United States. rbgenr,,Anti-slavery works,"United States, rbgenr",0.9,
Antislavery literature. rbgenr,183,Antislavery literature. rbgenr,,Anti-slavery works,rbgenr,1.0,
Anti-slavery works Massachusetts Boston 1851. rbmscv,184,Anti-slavery works Massachusetts Boston 1851. rbmscv,,Anti-slavery works,"Massachusetts Boston 1851, rbmscv",1.0,
Anti-slavery works New York (State) New York 1838. rbmscv,185,Anti-slavery works New York (State) New York 1838. rbmscv,,Anti-slavery works,"New York (State) New York 1838, rbmscv",1.0,
Anti-slavery works. rbmscv,186,Anti-slavery works. rbmscv,,Anti-slavery works,rbmscv,1.0,
Anti-slavery works. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00120,187,Anti-slavery works. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00120,,Anti-slavery works,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00120",1.0,
Aphorisms and Proverbs,188,Aphorisms and Proverbs,,Aphorisms and Proverbs,,1.0,
Arak (Paper) rbmscv,189,Arak (Paper) rbmscv,,Arak (Paper),rbmscv,1.0,
Archer and Victorian (Paper) rbmscv,190,Archer and Victorian (Paper) rbmscv,,Archer and Victorian (Paper),rbmscv,1.0,
Archer and Victorian (Paper) rbpap,191,Archer and Victorian (Paper) rbpap,,Archer and Victorian (Paper),rbpap,0.95,
Armorial bindings (Binding) 17th century. rbbin MMeT,192,Armorial bindings (Binding) 17th century. rbbin MMeT,,Armorial bindings,"(Binding) 17th century, rbbin, MMeT",0.9,
Armorial bindings (Binding) rbbin MMeT,193,Armorial bindings (Binding) rbbin MMeT,,Armorial bindings,"(Binding), rbbin, MMeT",0.95,
Armorial bindings (Provenance) 16th century rbprov MMeT,194,Armorial bindings (Provenance) 16th century rbprov MMeT,,Armorial bindings,"(Provenance) 16th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) 17th century rbprov MMeT,195,Armorial bindings (Provenance) 17th century rbprov MMeT,,Armorial bindings,"(Provenance) 17th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) 17th century. rbprov MMeT,196,Armorial bindings (Provenance) 17th century. rbprov MMeT,,Armorial bindings,"(Provenance) 17th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) 18th century rbprov MMeT,197,Armorial bindings (Provenance) 18th century rbprov MMeT,,Armorial bindings,"(Provenance) 18th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) 18th century. rbprov MMeT,198,Armorial bindings (Provenance) 18th century. rbprov MMeT,,Armorial bindings,"(Provenance) 18th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) 19th century rbprov MMeT,199,Armorial bindings (Provenance) 19th century rbprov MMeT,,Armorial bindings,"(Provenance) 19th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) 19th century. rbprov MMeT,200,Armorial bindings (Provenance) 19th century. rbprov MMeT,,Armorial bindings,"(Provenance) 19th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) France 17th century rbprov MMeT,201,Armorial bindings (Provenance) France 17th century rbprov MMeT,,Armorial bindings,"(Provenance) France 17th century, rbprov, MMeT",0.9,
Armorial bindings (Provenance) France Paris 18th century rbprov MMeT,202,Armorial bindings (Provenance) France Paris 18th century rbprov MMeT,,Armorial bindings,"(Provenance) France Paris 18th century, rbprov, MMeT",0.9,
Armorial bindings. rbmscv NjP,203,Armorial bindings. rbmscv NjP,,Armorial bindings,"rbmscv, NjP",0.92,
Armorial bookplates (Provenance) England London. rbprov MMeT,,,,,,,
Armorial bookplates (Provenance) rbbin MMeT,205,Armorial bookplates (Provenance) rbbin MMeT,,Armorial bookplates,"(Provenance), rbbin, MMeT",0.88,
Armorial bookplates (Provenance) rbprov,206,Armorial bookplates (Provenance) rbprov,,Armorial bookplates,"(Provenance), rbprov",0.92,
