id	original	status	updated_term	extraneous_text	confidence	error	GenreTerms
161	Annotations (Provenance). rbprov		Annotations	(Provenance), rbprov	0.95		
162	Annotations. rbmscv		Annotations	rbmscv	1		
163	Annotations. rbmscv MMeT		Annotations	rbmscv, MMeT	0.92		
164	Annual reports. rbgenr		Annual reports	rbgenr	1		
165	Anthologies California Los Angeles 20th century. rbgenr		Anthologies	California Los Angeles 20th century, rbgenr	0.88		
166	Anthologies England 17th century. rbgenr		Anthologies	England 17th century, rbgenr	0.88		
167	Anthologies England London 1965. rbgenr		Anthologies	England London 1965, rbgenr	0.88		
168	Anthologies England London 1982. rbgenr		Anthologies	England London 1982, rbgenr	0.88		
169	Anthologies England Oxford 1980. rbgenr		Anthologies	England Oxford 1980, rbgenr	0.88		
170	Anthologies Massachusetts Boston 1979. rbgenr		Anthologies	Massachusetts Boston 1979, rbgenr	0.88		
171	Anthologies New York (State) New York 1998. rbgenr		Anthologies	New York (State) New York 1998, rbgenr	0.88		
172	Anthologies United States Civil War, 1861-1865. rbgenr		Anthologies	United States Civil War, 1861-1865, rbgenr	0.88		
173	Anthologies. rbgenr		Anthologies	rbgenr	1		
174	Anthologies. rbmscv		Anthologies	rbmscv	1		
175	Anti-communist literature. rbgenr		Anti-communist works	rbgenr	0.95		
176	Anti-Jewish works rbmscv		Anti-Jewish works	rbmscv	1		
177	Anti-Semitic literature Michigan Dearbon...MISSING END OF LINE,						
178	Anti-Semitic literature Michigan Dearbon 1920 rbgenr		Anti-Jewish works	Michigan Dearbon 1920, rbgenr	0.8	typo/variant (Anti-Semitic -> Anti-Jewish)	
179	Antislavery literature Boston 1860. rbgenr		Anti-slavery works	Boston 1860, rbgenr	0.9		
180	Antislavery literature New York (State) New York 1856. rbgenr		Anti-slavery works	New York (State) New York 1856, rbgenr	0.9		
181	Antislavery literature New York (State) New York 1856. rbmscv		Anti-slavery works	New York (State) New York 1856, rbmscv	0.9		
182	Antislavery literature United States. rbgenr		Anti-slavery works	United States, rbgenr	0.9		
183	Antislavery literature. rbgenr		Anti-slavery works	rbgenr	1		
184	Anti-slavery works Massachusetts Boston 1851. rbmscv		Anti-slavery works	Massachusetts Boston 1851, rbmscv	1		
185	Anti-slavery works New York (State) New York 1838. rbmscv		Anti-slavery works	New York (State) New York 1838, rbmscv	1		
186	Anti-slavery works. rbmscv		Anti-slavery works	rbmscv	1		
187	Anti-slavery works. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00120		Anti-slavery works	rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00120	1		
188	Aphorisms and Proverbs		Aphorisms and Proverbs		1		
189	Arak (Paper) rbmscv		Arak (Paper)	rbmscv	1		
190	Archer and Victorian (Paper) rbmscv		Archer and Victorian (Paper)	rbmscv	1		
191	Archer and Victorian (Paper) rbpap		Archer and Victorian (Paper)	rbpap	0.95		
192	Armorial bindings (Binding) 17th century. rbbin MMeT		Armorial bindings	(Binding) 17th century, rbbin, MMeT	0.9		
193	Armorial bindings (Binding) rbbin MMeT		Armorial bindings	(Binding), rbbin, MMeT	0.95		
194	Armorial bindings (Provenance) 16th century rbprov MMeT		Armorial bindings	(Provenance) 16th century, rbprov, MMeT	0.9		
195	Armorial bindings (Provenance) 17th century rbprov MMeT		Armorial bindings	(Provenance) 17th century, rbprov, MMeT	0.9		
196	Armorial bindings (Provenance) 17th century. rbprov MMeT		Armorial bindings	(Provenance) 17th century, rbprov, MMeT	0.9		
197	Armorial bindings (Provenance) 18th century rbprov MMeT		Armorial bindings	(Provenance) 18th century, rbprov, MMeT	0.9		
198	Armorial bindings (Provenance) 18th century. rbprov MMeT		Armorial bindings	(Provenance) 18th century, rbprov, MMeT	0.9		
199	Armorial bindings (Provenance) 19th century rbprov MMeT		Armorial bindings	(Provenance) 19th century, rbprov, MMeT	0.9		
200	Armorial bindings (Provenance) 19th century. rbprov MMeT		Armorial bindings	(Provenance) 19th century, rbprov, MMeT	0.9		
201	Armorial bindings (Provenance) France 17th century rbprov MMeT		Armorial bindings	(Provenance) France 17th century, rbprov, MMeT	0.9		
202	Armorial bindings (Provenance) France Paris 18th century rbprov MMeT		Armorial bindings	(Provenance) France Paris 18th century, rbprov, MMeT	0.9		
203	Armorial bindings. rbmscv NjP		Armorial bindings	rbmscv, NjP	0.92		
204	Armorial bookplates (Provenance) England London 17th century rbprov MMeT		Armorial bookplates	(Provenance) England London 17th century, rbprov, MMeT	0.88		
205	Armorial bookplates (Provenance) rbbin MMeT		Armorial bookplates	(Provenance), rbbin, MMeT	0.88		
206	Armorial bookplates (Provenance) rbprov		Armorial bookplates	(Provenance), rbprov	0.92		
207	Armorial bookplates (Provenance) rbprov MMeT		Armorial bookplates	(Provenance), rbprov, MMeT	0.92		
208	Armorial bookplates (Provenance). rbprov MMeT		Armorial bookplates	(Provenance), rbprov, MMeT	0.92		
209	Armorial bookplates rbmscv		Armorial bookplates	rbmscv	1		
210	Armorial bookplates. rbmscv GEU		Armorial bookplates	rbmscv, GEU	0.9		
211	Armorial bookplates. rbmscv MMeT		Armorial bookplates	rbmscv, MMeT	0.9		
212	Armorial stamps (Provenance) Italy. rbprov MMeT		Armorial stamps	(Provenance) Italy, rbprov, MMeT	0.88		
213	Armorial stamps (Provenance) rbprov MMeT		Armorial stamps	(Provenance), rbprov, MMeT	0.92		
214	Armorial stamps (Provenance). rbprov		Armorial stamps	(Provenance), rbprov	0.92		
215	Artisits' books 2000-2009. rbgenr		Artists' books	2000-2009, rbgenr	0.7	typo in original (Artisits')	
216	Artists' autographs (Provenance) Gardner 2011. rbprov		Authors' autographs	(Provenance) Gardner 2011, rbprov	0.85		
217	Artists' autographs (Provenance) Knudson 2013. rbprov		Authors' autographs	(Provenance) Knudson 2013, rbprov	0.85		
218	Artists' autographs (Provenance) Ledeker 2007. rbprov		Authors' autographs	(Provenance) Ledeker 2007, rbprov	0.85		
219	Artists' autographs (Provenance) Russelle 2011. rbprov		Authors' autographs	(Provenance) Russelle 2011, rbprov	0.85		
220	Artists' autographs (Provenance) Samson-Talleur 2007. rbprov		Authors' autographs	(Provenance) Samson-Talleur 2007, rbprov	0.85		
221	Artists' books (Binding) rbbin		Artists' books	(Binding), rbbin	1		
222	Artists' books 1966. rbgenr		Artists' books	1966, rbgenr	0.88		
223	Artists' books 1974. rbgenr		Artists' books	1974, rbgenr	0.88		
224	Artists' books 1975. rbgenr		Artists' books	1975, rbgenr	0.88		
225	Artists' books 1977. rbgenr		Artists' books	1977, rbgenr	0.88		
226	Artists' books 1981. rbgenr		Artists' books	1981, rbgenr	0.88		
227	Artists' books 1983. rbgenr		Artists' books	1983, rbgenr	0.88		
228	Artists' books 1985. rbgenr		Artists' books	1985, rbgenr	0.88		
229	Artists' books 1987. rbmscv		Artists' books	1987, rbmscv	0.88		
230	Artists' books 1988. rbgenr		Artists' books	1988, rbgenr	0.88		
231	Artists' books 1989. rbgenr		Artists' books	1989, rbgenr	0.88		
232	Artists' books 1991. rbgenr		Artists' books	1991, rbgenr	0.88		
233	Artists' books 1992. rbgenr		Artists' books	1992, rbgenr	0.88		
234	Artists' books 1993. rbgenr		Artists' books	1993, rbgenr	0.88		
235	Artists' books 1994. rbgenr		Artists' books	1994, rbgenr	0.88		
236	Artists' books 1995. rbgenr		Artists' books	1995, rbgenr	0.88		
237	Artists' books 1998. rbgenr		Artists' books	1998, rbgenr	0.88		
238	Artists' books 1998. rbmscv		Artists' books	1998, rbmscv	0.88		
239	Artists' books 2000-2009. rbgenr		Artists' books	2000-2009, rbgenr	0.9		
240	Artists' books 2002. rbgenr		Artists' books	2002, rbgenr	0.88		
241	Artists' books 2003. rbgenr		Artists' books	2003, rbgenr	0.88		
242	Artists' books 2004. rbgenr		Artists' books	2004, rbgenr	0.88		
243	Artists' books 2005. rbgenr		Artists' books	2005, rbgenr	0.88		
244	Artists' books 2006. rbgenr		Artists' books	2006, rbgenr	0.88		
245	Artists' books 2007. rbgenr		Artists' books	2007, rbgenr	0.88		
246	Artists' books 2008. rbgenr		Artists' books	2008, rbgenr	0.88		
247	Artists' books 2009. rbgenr		Artists' books	2009, rbgenr	0.88		
248	Artists' books 2010. rbgenr		Artists' books	2010, rbgenr	0.88		
249	Artists' books 2010-2019. rbgenr		Artists' books	2010-2019, rbgenr	0.88		
250	Artists' books 2011. rbgenr		Artists' books	2011, rbgenr	0.88		
251	Artists' books 2012. rbgenr		Artists' books	2012, rbgenr	0.88		
252	Artists' books 2013. rbgenr		Artists' books	2013, rbgenr	0.88		
253	Artists' books 2014. rbgenr		Artists' books	2014, rbgenr	0.88		
254	Artists' books 2014. rbmscv		Artists' books	2014, rbmscv	0.88		
255	Artists' books 2015. rbgenr		Artists' books	2015, rbgenr	0.88		
256	Artists' books 2016. rbgenr		Artists' books	2016, rbgenr	0.88		
257	Artists' books 2017. rbgenr		Artists' books	2017, rbgenr	0.88		
258	Artists' books 2018. rbgenr		Artists' books	2018, rbgenr	0.88		
259	Artists' books 2019. rbgenr		Artists' books	2019, rbgenr	0.88		
260	Artists' books 2020. rbgenr		Artists' books	2020, rbgenr	0.88		
261	Artists' books 2021. rbgenr		Artists' books	2021, rbgenr	0.88		
262	Artists' books 2022. rbgenr		Artists' books	2022, rbgenr	0.88		
263	Artists' books 20th century. rbgenr		Artists' books	20th century, rbgenr	0.88		
264	Artists' books 21st century. rbgenr		Artists' books	21st century, rbgenr	0.88		
265	Artists' books Alabama 21st century. rbgenr		Artists' books	Alabama 21st century, rbgenr	0.88		
266	Artists' books Alabama Tuscaloosa 2013. rbgenr		Artists' books	Alabama Tuscaloosa 2013, rbgenr	0.88		
267	Artists' books Alabama Tuscaloosa 2021. rbgenr		Artists' books	Alabama Tuscaloosa 2021, rbgenr	0.88		
268	Artists' books Alabama. rbgenr		Artists' books	Alabama, rbgenr	0.88		
269	Artists' books Alberta 21st century. rbgenr		Artists' books	Alberta 21st century, rbgenr	0.88		
270	Artists' books Arizona Tucson 20102. rbgenr		Artists' books	Arizona Tucson 20102, rbgenr	0.6	possible typo in year (20102)	
271	Artists' books Australia 2012. rbgenr		Artists' books	Australia 2012, rbgenr	0.88		
272	Artists' books Belgium 20th century. rbgenr		Artists' books	Belgium 20th century, rbgenr	0.88		
273	Artists' books Belgium 21st century. rbgenr		Artists' books	Belgium 21st century, rbgenr	0.88		
274	Artists' books Belgium Charleroi 2008. rbgenr		Artists' books	Belgium Charleroi 2008, rbgenr	0.88		
275	Artists' books Belgium Charleroi 2011. rbgenr		Artists' books	Belgium Charleroi 2011, rbgenr	0.88		
276	Artists' books Belgium Charleroi 2017. rbgenr		Artists' books	Belgium Charleroi 2017, rbgenr	0.88		
277	Artists' books Brazil 2016 rbgenr		Artists' books	Brazil 2016, rbgenr	0.88		
278	Artists' books Brazil 2017. rbgenr		Artists' books	Brazil 2017, rbgenr	0.88		
279	Artists' books Brazil 21st century. rbgenr		Artists' books	Brazil 21st century, rbgenr	0.88		
280	Artists' books California 1993. rbgenr		Artists' books	California 1993, rbgenr	0.88		
281	Artists' books California 2019. rbgenr		Artists' books	California 2019, rbgenr	0.88		
282	Artists' books California 20th century rbgenr		Artists' books	California 20th century, rbgenr	0.88		
283	Artists' books California 20th century. rbgenr		Artists' books	California 20th century, rbgenr	0.88		
284	Artists' books California 21st century. rbgenr		Artists' books	California 21st century, rbgenr	0.88		
285	Artists' books California Berkeley 2011. rbgenr		Artists' books	California Berkeley 2011, rbgenr	0.88		
286	Artists' books California Berkeley 2012. rbgenr		Artists' books	California Berkeley 2012, rbgenr	0.88		
287	Artists' books California Berkeley 2016. rbgenr		Artists' books	California Berkeley 2016, rbgenr	0.88		
288	Artists' books California Berkeley 2018. rbgenr		Artists' books	California Berkeley 2018, rbgenr	0.88		
289	Artists' books California Berkeley 2018. rbmscv		Artists' books	California Berkeley 2018, rbmscv	0.88		
290	Artists' books California Berkeley 21st century. rbgenr		Artists' books	California Berkeley 21st century, rbgenr	0.88		
291	Artists' books California Berkeley. rbgenr		Artists' books	California Berkeley, rbgenr	0.88		
292	Artists' books California Garberville 2019. rbgenr		Artists' books	California Garberville 2019, rbgenr	0.88		
293	Artists' books California Hollywood 1971. rbgenr		Artists' books	California Hollywood 1971, rbgenr	0.88		
294	Artists' books California Irvine 1975. rbgenr		Artists' books	California Irvine 1975, rbgenr	0.88		
295	Artists' books California Los Angeles 2011. rbgenr		Artists' books	California Los Angeles 2011, rbgenr	0.88		
296	Artists' books California Los Angeles 2012. rbgenr		Artists' books	California Los Angeles 2012, rbgenr	0.88		
297	Artists' books California Los Angeles 2014. rbgenr		Artists' books	California Los Angeles 2014, rbgenr	0.88		
298	Artists' books California Los Angeles 20th century. rbgenr		Artists' books	California Los Angeles 20th century, rbgenr	0.88		
299	Artists' books California Oakland 2016. rbgenr		Artists' books	California Oakland 2016, rbgenr	0.88		
300	Artists' books California Oakland 21st century rbgenr		Artists' books	California Oakland 21st century, rbgenr	0.88		
301	Artists' books California Oakland. rbgenr		Artists' books	California Oakland, rbgenr	0.88		
302	Artists' books California Pasadena 1995. rbgenr		Artists' books	California Pasadena 1995, rbgenr	0.88		
