id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
64,New York (State) New York 19th century. rbgenr,no_match,,New York (State) New York 19th century; rbgenr,0,
65,New York (State) New York 20th century. rbgenr,no_match,,New York (State) New York 20th century; rbgenr,0,
66,New York 20th century. rbgenr,no_match,,New York 20th century; rbgenr,0,
67,New York New York 19th century. rbgenr,no_match,,New York New York 19th century; rbgenr,0,
68,New York New York 20th century. rbgenr,no_match,,New York New York 20th century; rbgenr,0,
69,New York Oneida 19th century. rbgenr,no_match,,New York Oneida 19th century; rbgenr,0,
70,Ohio Cincinnati 19th century. rbgenr,no_match,,Ohio Cincinnati 19th century; rbgenr,0,
71,Patent medicines. rbgenr,matched,Patent medicines,rbgenr,1,
72,Pennsylvania Philadelphia 19th century. rbgenr,no_match,,Pennsylvania Philadelphia 19th century; rbgenr,0,
73,Pennsylvania Philadelphia 20th century. rbgenr,no_match,,Pennsylvania Philadelphia 20th century; rbgenr,0,
74,Printing. rbgenr,matched,Printing,rbgenr,1,
75,Scotland Glasgow 20th century. rbgenr,no_match,,Scotland Glasgow 20th century; rbgenr,0,
76,Seeds. rbgenr,matched,Seeds,rbgenr,1,
77,Spain Madrid 20th century. rbgenr,no_match,,Spain Madrid 20th century; rbgenr,0,
78,Switzerland Zu?rich 20th century. rbgenr,no_match,,Switzerland Zu?rich 20th century; rbgenr (encoding),0,
79,Taverns (Inns) rbgenr,matched,Taverns (Inns),rbgenr,1,
80,United States Boston 19th century. rbgenr,no_match,,United States Boston 19th century; rbgenr,0,
81,United States Boston 20th century. rbgenr,no_match,,United States Boston 20th century; rbgenr,0,
82,United States New York 19th century. rbgenr,no_match,,United States New York 19th century; rbgenr,0,
83,rbgenr,no_match,,rbgenr,0,
84,United States New York 20th century. rbgenr,no_match,,United States New York 20th century; rbgenr,0,
85,Connecticut 1756. rbgenr,no_match,,Connecticut 1756; rbgenr,0,
86,Connecticut 1757. rbgenr,no_match,,Connecticut 1757; rbgenr,0,
87,Connecticut 1758. rbgenr,no_match,,Connecticut 1758; rbgenr,0,
88,Connecticut 1768. rbgenr,no_match,,Connecticut 1768; rbgenr,0,
89,Connecticut 1769. rbgenr,no_match,,Connecticut 1769; rbgenr,0,
90,Connecticut 1770. rbgenr,no_match,,Connecticut 1770; rbgenr,0,
91,Connecticut 1771. rbgenr,no_match,,Connecticut 1771; rbgenr,0,
92,Connecticut 1772. rbgenr,no_match,,Connecticut 1772; rbgenr,0,
93,Connecticut 1773. rbgenr,no_match,,Connecticut 1773; rbgenr,0,
94,Connecticut 1774. rbgenr,no_match,,Connecticut 1774; rbgenr,0,
95,Connecticut 1782. rbgenr,no_match,,Connecticut 1782; rbgenr,0,
96,Connecticut 1783. rbgenr,no_match,,Connecticut 1783; rbgenr,0,
97,Connecticut 1788. rbgenr,no_match,,Connecticut 1788; rbgenr,0,
98,Connecticut 1789. rbgenr,no_match,,Connecticut 1789; rbgenr,0,
99,Connecticut 1790. rbgenr,no_match,,Connecticut 1790; rbgenr,0,
100,Connecticut 1791. rbgenr,no_match,,Connecticut 1791; rbgenr,0,
101,Connecticut 1799. rbgenr,no_match,,Connecticut 1799; rbgenr,0,
102,Connecticut 1800. rbgenr,no_match,,Connecticut 1800; rbgenr,0,
103,District of Columbia 1798. rbgenr,no_match,,District of Columbia 1798; rbgenr,0,
104,Maryland 1797. rbgenr,no_match,,Maryland 1797; rbgenr,0,
105,Massachusetts 1685. rbgenr,no_match,,Massachusetts 1685; rbgenr,0,
106,Massachusetts 1690. rbgenr,no_match,,Massachusetts 1690; rbgenr,0,
107,Massachusetts 1691. rbgenr,no_match,,Massachusetts 1691; rbgenr,0,
108,Massachusetts 1692. rbgenr,no_match,,Massachusetts 1692; rbgenr,0,
109,Massachusetts 1693. rbgenr,no_match,,Massachusetts 1693; rbgenr,0,
110,Massachusetts 1696. rbgenr,no_match,,Massachusetts 1696; rbgenr,0,
111,Massachusetts 1697. rbgenr,no_match,,Massachusetts 1697; rbgenr,0,
112,Massachusetts 1698. rbgenr,no_match,,Massachusetts 1698; rbgenr,0,
113,Massachusetts 1699. rbgenr,no_match,,Massachusetts 1699; rbgenr,0,
114,Massachusetts 1702. rbgenr,no_match,,Massachusetts 1702; rbgenr,0,
115,Massachusetts 1706. rbgenr,no_match,,Massachusetts 1706; rbgenr,0,
116,Massachusetts 1707. rbgenr,no_match,,Massachusetts 1707; rbgenr,0,
117,Massachusetts 1709. rbgenr,no_match,,Massachusetts 1709; rbgenr,0,
118,Massachusetts 1710. rbgenr,no_match,,Massachusetts 1710; rbgenr,0,
119,Massachusetts 1711. rbgenr,no_match,,Massachusetts 1711; rbgenr,0,
120,Massachusetts 1712. rbgenr,no_match,,Massachusetts 1712; rbgenr,0,
121,Massachusetts 1713. rbgenr,no_match,,Massachusetts 1713; rbgenr,0,
122,Massachusetts 1715. rbgenr,no_match,,Massachusetts 1715; rbgenr,0,
123,Massachusetts 1716. rbgenr,no_match,,Massachusetts 1716; rbgenr,0,
124,Massachusetts 1717. rbgenr,no_match,,Massachusetts 1717; rbgenr,0,
125,Massachusetts 1718. rbgenr,no_match,,Massachusetts 1718; rbgenr,0,
126,Massachusetts 1719. rbgenr,no_match,,Massachusetts 1719; rbgenr,0,
127,Massachusetts 1720. rbgenr,no_match,,Massachusetts 1720; rbgenr,0,
128,Massachusetts 1721. rbgenr,no_match,,Massachusetts 1721; rbgenr,0,
129,Massachusetts 1722. rbgenr,no_match,,Massachusetts 1722; rbgenr,0,
130,Massachusetts 1723. rbgenr,no_match,,Massachusetts 1723; rbgenr,0,
131,Massachusetts 1751. rbgenr,no_match,,Massachusetts 1751; rbgenr,0,
132,Massachusetts 1755. rbgenr,no_match,,Massachusetts 1755; rbgenr,0,
133,Massachusetts 1760. rbgenr,no_match,,Massachusetts 1760; rbgenr,0,
134,Massachusetts 1761. rbgenr,no_match,,Massachusetts 1761; rbgenr,0,
135,Massachusetts 1762. rbgenr,no_match,,Massachusetts 1762; rbgenr,0,
136,Massachusetts 1764. rbgenr,no_match,,Massachusetts 1764; rbgenr,0,
137,Massachusetts 1765. rbgenr,no_match,,Massachusetts 1765; rbgenr,0,
138,Massachusetts 1766. rbgenr,no_match,,Massachusetts 1766; rbgenr,0,
139,Massachusetts 1767. rbgenr,no_match,,Massachusetts 1767; rbgenr,0,
140,Massachusetts 1769. rbgenr,no_match,,Massachusetts 1769; rbgenr,0,
141,Massachusetts 1771. rbgenr,no_match,,Massachusetts 1771; rbgenr,0,
142,Massachusetts 1772. rbgenr,no_match,,Massachusetts 1772; rbgenr,0,
143,Massachusetts 1773. rbgenr,no_match,,Massachusetts 1773; rbgenr,0,
144,Massachusetts 1774. rbgenr,no_match,,Massachusetts 1774; rbgenr,0,
145,Massachusetts 1775. rbgenr,no_match,,Massachusetts 1775; rbgenr,0,
146,Massachusetts 1776. rbgenr,no_match,,Massachusetts 1776; rbgenr,0,
147,Massachusetts 1779. rbgenr,no_match,,Massachusetts 1779; rbgenr,0,
148,Massachusetts 1780. rbgenr,no_match,,Massachusetts 1780; rbgenr,0,
149,Massachusetts 1781. rbgenr,no_match,,Massachusetts 1781; rbgenr,0,
150,Massachusetts 1782. rbgenr,no_match,,Massachusetts 1782; rbgenr,0,
151,Massachusetts 1783. rbgenr,no_match,,Massachusetts 1783; rbgenr,0,
152,Massachusetts 1784. rbgenr,no_match,,Massachusetts 1784; rbgenr,0,
153,Massachusetts 1785. rbgenr,no_match,,Massachusetts 1785; rbgenr,0,
154,Massachusetts 1786. rbgenr,no_match,,Massachusetts 1786; rbgenr,0,
155,Massachusetts 1787. rbgenr,no_match,,Massachusetts 1787; rbgenr,0,
156,Massachusetts 1788. rbgenr,no_match,,Massachusetts 1788; rbgenr,0,
157,Massachusetts 1789. rbgenr,no_match,,Massachusetts 1789; rbgenr,0,
158,Massachusetts 1790. rbgenr,no_match,,Massachusetts 1790; rbgenr,0,
159,Massachusetts 1791. rbgenr,no_match,,Massachusetts 1791; rbgenr,0,
160,Massachusetts 1792. rbgenr,no_match,,Massachusetts 1792; rbgenr,0,
161,Massachusetts 1793. rbgenr,no_match,,Massachusetts 1793; rbgenr,0,
162,Massachusetts 1794. rbgenr,no_match,,Massachusetts 1794; rbgenr,0,
163,Massachusetts 1795. rbgenr,no_match,,Massachusetts 1795; rbgenr,0,
164,Massachusetts 1797. rbgenr,no_match,,Massachusetts 1797; rbgenr,0,
165,Massachusetts 1799. rbgenr,no_match,,Massachusetts 1799; rbgenr,0,
166,New Hampshire 1759. rbgenr,no_match,,New Hampshire 1759; rbgenr,0,
167,New Hampshire 1771. rbgenr,no_match,,New Hampshire 1771; rbgenr,0,
168,New Hampshire 1796. rbgenr,no_match,,New Hampshire 1796; rbgenr,0,
169,New Jersey 1787. rbgenr,no_match,,New Jersey 1787; rbgenr,0,
170,New Jersey 1789. rbgenr,no_match,,New Jersey 1789; rbgenr,0,
171,New Jersey 1798. rbgenr,no_match,,New Jersey 1798; rbgenr,0,
172,New Jersey 1799. rbgenr,no_match,,New Jersey 1799; rbgenr,0,
173,New Jersey 1800. rbgenr,no_match,,New Jersey 1800; rbgenr,0,
174,New York (State) 1694. rbgenr,no_match,,New York (State) 1694; rbgenr,0,
175,New York (State) 1695. rbgenr,no_match,,New York (State) 1695; rbgenr,0,
176,New York (State) 1696. rbgenr,no_match,,New York (State) 1696; rbgenr,0,
177,New York (State) 1698. rbgenr,no_match,,New York (State) 1698; rbgenr,0,
178,New York (State) 1699. rbgenr,no_match,,New York (State) 1699; rbgenr,0,
179,New York (State) 1700. rbgenr,no_match,,New York (State) 1700; rbgenr,0,
180,New York (State) 1718. rbgenr,no_match,,New York (State) 1718; rbgenr,0,
181,New York (State) 1719. rbgenr,no_match,,New York (State) 1719; rbgenr,0,
182,New York (State) 1720. rbgenr,no_match,,New York (State) 1720; rbgenr,0,
183,New York (State) 1724. rbgenr,no_match,,New York (State) 1724; rbgenr,0,
184,New York (State) 1727. rbgenr,no_match,,New York (State) 1727; rbgenr,0,
185,New York (State) 1730. rbgenr,no_match,,New York (State) 1730; rbgenr,0,
186,New York (State) 1766. rbgenr,no_match,,New York (State) 1766; rbgenr,0,
187,New York (State) 1774. rbgenr,no_match,,New York (State) 1774; rbgenr,0,
188,New York (State) 1789. rbgenr,no_match,,New York (State) 1789; rbgenr,0,
189,New York (State) 1793. rbgenr,no_match,,New York (State) 1793; rbgenr,0,
190,New York (State) 1795. rbgenr,no_match,,New York (State) 1795; rbgenr,0,
191,New York (State) 1796. rbgenr,no_match,,New York (State) 1796; rbgenr,0,
192,New York (State) 1797. rbgenr,no_match,,New York (State) 1797; rbgenr,0,
193,New York (State) 1798. rbgenr,no_match,,New York (State) 1798; rbgenr,0,
194,New York (State) 1800. rbgenr,no_match,,New York (State) 1800; rbgenr,0,
195,New York (State) 1801. rbgenr,no_match,,New York (State) 1801; rbgenr,0,
196,North Carolina 1795. rbgenr,no_match,,North Carolina 1795; rbgenr,0,
197,Pennsylvania 1700. rbgenr,no_match,,Pennsylvania 1700; rbgenr,0,
198,Pennsylvania 1717. rbgenr,no_match,,Pennsylvania 1717; rbgenr,0,
199,Pennsylvania 1721. rbgenr,no_match,,Pennsylvania 1721; rbgenr,0,
200,Pennsylvania 1744. rbgenr,no_match,,Pennsylvania 1744; rbgenr,0,
201,Pennsylvania 1753. rbgenr,no_match,,Pennsylvania 1753; rbgenr,0,date/place only ??? no RBMS term
202,Pennsylvania 1755. rbgenr,no_match,,Pennsylvania 1755; rbgenr,0,date/place only ??? no RBMS term
203,Pennsylvania 1774. rbgenr,no_match,,Pennsylvania 1774; rbgenr,0,date/place only ??? no RBMS term
204,Pennsylvania 1782. rbgenr,no_match,,Pennsylvania 1782; rbgenr,0,date/place only ??? no RBMS term
205,Pennsylvania 1783. rbgenr,no_match,,Pennsylvania 1783; rbgenr,0,date/place only ??? no RBMS term
206,Pennsylvania 1793. rbgenr,no_match,,Pennsylvania 1793; rbgenr,0,date/place only ??? no RBMS term
207,Pennsylvania 1794. rbgenr,no_match,,Pennsylvania 1794; rbgenr,0,date/place only ??? no RBMS term
208,Pennsylvania 1796. rbgenr,no_match,,Pennsylvania 1796; rbgenr,0,date/place only ??? no RBMS term
209,Pennsylvania 1797. rbgenr,no_match,,Pennsylvania 1797; rbgenr,0,date/place only ??? no RBMS term
210,Pennsylvania 1798. rbgenr,no_match,,Pennsylvania 1798; rbgenr,0,date/place only ??? no RBMS term
211,Rhode Island 1771. rbgenr,no_match,,Rhode Island 1771; rbgenr,0,date/place only ??? no RBMS term
212,Rhode Island 1781. rbgenr,no_match,,Rhode Island 1781; rbgenr,0,date/place only ??? no RBMS term
213,Rhode Island 1786. rbgenr,no_match,,Rhode Island 1786; rbgenr,0,date/place only ??? no RBMS term
214,Rhode Island 1788. rbgenr,no_match,,Rhode Island 1788; rbgenr,0,date/place only ??? no RBMS term
215,Rhode Island 1790. rbgenr,no_match,,Rhode Island 1790; rbgenr,0,date/place only ??? no RBMS term
216,Rhode Island 1792. rbgenr,no_match,,Rhode Island 1792; rbgenr,0,date/place only ??? no RBMS term
217,Rhode Island 1793. rbgenr,no_match,,Rhode Island 1793; rbgenr,0,date/place only ??? no RBMS term
218,Rhode Island 1794. rbgenr,no_match,,Rhode Island 1794; rbgenr,0,date/place only ??? no RBMS term
219,Rhode Island 1796. rbgenr,no_match,,Rhode Island 1796; rbgenr,0,date/place only ??? no RBMS term
220,Rhode Island 1797. rbgenr,no_match,,Rhode Island 1797; rbgenr,0,date/place only ??? no RBMS term
221,Rhode Island 1800. rbgenr,no_match,,Rhode Island 1800; rbgenr,0,date/place only ??? no RBMS term
222,Rhode Island 1801. rbgenr,no_match,,Rhode Island 1801; rbgenr,0,date/place only ??? no RBMS term
223,South Carolina 1800. rbgenr,no_match,,South Carolina 1800; rbgenr,0,date/place only ??? no RBMS term
224,Vermont 1791. rbgenr,no_match,,Vermont 1791; rbgenr,0,date/place only ??? no RBMS term
225,Virginia 1732. rbgenr,no_match,,Virginia 1732; rbgenr,0,date/place only ??? no RBMS term
226,Virginia 1742. rbgenr,no_match,,Virginia 1742; rbgenr,0,date/place only ??? no RBMS term
227,Virginia 1765. rbgenr,no_match,,Virginia 1765; rbgenr,0,date/place only ??? no RBMS term
228,Virginia 1768. rbgenr,no_match,,Virginia 1768; rbgenr,0,date/place only ??? no RBMS term
229,Virginia 1779. rbgenr,no_match,,Virginia 1779; rbgenr,0,date/place only ??? no RBMS term
230,Virginia 1783. rbgenr,no_match,,Virginia 1783; rbgenr,0,date/place only ??? no RBMS term
231,Virginia 1784. rbgenr,no_match,,Virginia 1784; rbgenr,0,date/place only ??? no RBMS term
232,Virginia 1791. rbgenr,no_match,,Virginia 1791; rbgenr,0,date/place only ??? no RBMS term
233,Virginia 1793. rbgenr,no_match,,Virginia 1793; rbgenr,0,date/place only ??? no RBMS term
234,Virginia 1795. rbgenr,no_match,,Virginia 1795; rbgenr,0,date/place only ??? no RBMS term
235,Virginia 1796. rbgenr,no_match,,Virginia 1796; rbgenr,0,date/place only ??? no RBMS term
236,Virginia 1798. rbgenr,no_match,,Virginia 1798; rbgenr,0,date/place only ??? no RBMS term
237,rbgenr,no_match,,rbgenr,0,qualifier only ??? no term
238,books 1785. rbgenr,matched,Books,1785; rbgenr,0.75,broad mapping to 'Books' (date-only metadata retained in extraneous_text)
239,books 1788. rbgenr,matched,Books,1788; rbgenr,0.75,
240,books 1794. rbgenr,matched,Books,1794; rbgenr,0.75,
241,books 1986. rbgenr,matched,Books,1986; rbgenr,0.75,
242,books 1987. rbgenr,matched,Books,1987; rbgenr,0.75,
243,atlases rbgenr,matched,Atlases (Geographic),rbgenr,0.9,
244,atlases. rbgenr,matched,Atlases (Geographic),rbgenr,1,
245,sermons 1775. rbgenr,matched,Sermons,1775; rbgenr,1,
246,sermons 1778. rbgenr,matched,Sermons,1778; rbgenr,1,
247,(Provenance) 18th century. rbprov MMeT,no_match,,"(Provenance) 18th century; rbprov, MMeT",0,provenance qualifier only ??? no term
248,(Provenance) 20th century. rbprov MMeT,no_match,,"(Provenance) 20th century; rbprov, MMeT",0,
249,(Provenance) rbprov MMeT,no_match,,"(Provenance); rbprov, MMeT",0,
250,21st century. rbgenr,no_match,,21st century; rbgenr,0,
251,reports. rbgenr,matched,Annual reports,rbgenr,0.7,broad mapping to 'Annual reports'
252,rbgenr,no_match,,rbgenr,0,
253,literature. rbgenr,matched,Literature,rbgenr,0.6,generic mapping to 'Literature' (vocabulary may use specific genres)
254,rbgenr,no_match,,rbgenr,0,
255,literature United States New York 1921. rbgenr,matched,Literature,United States New York 1921; rbgenr,0.6,
256,trade literature United States. rbgenr,matched,Trade catalogs,United States; rbgenr,0.5,best-effort mapping (trade literature ~ trade catalogs)
257,literature United States 1839. rbgenr,matched,Literature,United States 1839; rbgenr,0.6,
258,literature United States. rbgenr,matched,Literature,United States; rbgenr,0.6,
259,literature. rbgenr,matched,Literature,rbgenr,0.6,
260,suffrage literature 20th century. rbgenr,matched,Anti-women's suffrage works,20th century; rbgenr,0.8,mapped to specific RBMS term for suffrage literature
261,suffrage literature Massachusetts 20th century. rbgenr,matched,Anti-women's suffrage works,Massachusetts 20th century; rbgenr,0.75,
262,and Proverbs,no_match,,and Proverbs (fragment),0,
263,(Paper) rbpap,no_match,,(Paper); rbpap,0,
264,bindings (Binding) rbbin MMeT,no_match,,"bindings (Binding); rbbin, MMeT",0,
265,bookplates (Provenance) England London 18th century. rbprov,matched,Bookplates,(Provenance) England London 18th century; rbprov,0.95,
266,bookplates (Provenance) rbprov MMeT,matched,Bookplates,"(Provenance); rbprov, MMeT",0.95,
267,bookplates. rbmscv MMeT,matched,Bookplates,"rbmscv, MMeT",1,
268,stamps (Provenance) rbprov MMeT,no_match,,"stamps (Provenance); rbprov, MMeT",0,no exact 'stamps' term in vocabulary as-is
269,election sermons 1698. rbgenr,matched,Election sermons,1698; rbgenr,1,
270,election sermons 1699. rbgenr,matched,Election sermons,1699; rbgenr,1,
271,election sermons 1700. rbgenr,matched,Election sermons,1700; rbgenr,1,
272,election sermons 1795. rbgenr,matched,Election sermons,1795; rbgenr,1,
273,election sermons 1799. rbgenr,matched,Election sermons,1799; rbgenr,1,
274,books 1976. rbgenr,matched,Books,1976; rbgenr,0.75,
275,books 1988. rbgenr,matched,Books,1988; rbgenr,0.75,
276,books 1998. rbgenr,matched,Books,1998; rbgenr,0.75,
277,books 2007. rbgenr,matched,Books,2007; rbgenr,0.75,
278,books 2010. rbgenr,matched,Books,2010; rbgenr,0.75,
279,books 2011. rbgenr,matched,Books,2011; rbgenr,0.75,
280,books 2012. rbgenr,matched,Books,2012; rbgenr,0.75,
281,books 2015. rbgenr,matched,Books,2015; rbgenr,0.75,
282,books 2017. rbgenr,matched,Books,2017; rbgenr,0.75,
283,books 20th century. rbgenr,matched,Books,20th century; rbgenr,0.75,
284,books Alabama 2014. rbgenr,matched,Books,Alabama 2014; rbgenr,0.75,
285,books Arizona Tucson 2014. rbgenr,matched,Books,Arizona Tucson 2014; rbgenr,0.75,
286,books Belgium (Charleroi) 2017. rbgenr,matched,Books,Belgium (Charleroi) 2017; rbgenr,0.75,
287,books Belgium Brussels 2014. rbgenr,matched,Books,Belgium Brussels 2014; rbgenr,0.75,
288,books California 1970-1979. rbgenr,matched,Books,California 1970-1979; rbgenr,0.75,
289,books California 21st century rbgenr,matched,Books,California 21st century; rbgenr,0.75,
290,books California 21st century. rbgenr,matched,Books,California 21st century; rbgenr,0.75,
291,books California Berkeley 2015. rbgenr,matched,Books,California Berkeley 2015; rbgenr,0.75,
292,books California Berkeley. rbgenr,matched,Books,California Berkeley; rbgenr,0.75,
293,books California Fullerton 1973. rbgenr,matched,Books,California Fullerton 1973; rbgenr,0.75,
294,books California Los Angeles 2015. rbgenr,matched,Books,California Los Angeles 2015; rbgenr,0.75,
295,books California Morgan Hill 21st century. rbgenr,matched,Books,California Morgan Hill 21st century; rbgenr,0.75,
296,books California Oakland rbgenr,matched,Books,California Oakland; rbgenr,0.75,
297,books California Pasadena 2009. rbgenr,matched,Books,California Pasadena 2009; rbgenr,0.75,
298,books California Pasadena 2012. rbgenr,matched,Books,California Pasadena 2012; rbgenr,0.75,
299,books California Redwood City 2013. rbgenr,matched,Books,California Redwood City 2013; rbgenr,0.75,
300,books California Redwood City. rbgenr,matched,Books,California Redwood City; rbgenr,0.75,
301,books California San Francisco 2012. rbgenr,matched,Books,California San Francisco 2012; rbgenr,0.75,
302,books California. rbgenr,matched,Books,California; rbgenr,0.75,
303,books Canada. rbgenr,matched,Books,Canada; rbgenr,0.75,
304,books Chile 1990-1999. rbgenr,matched,Books,Chile 1990-1999; rbgenr,0.75,
305,books Chile 21st century. rbgenr,matched,Books,Chile 21st century; rbgenr,0.75,
306,books Chile Santiago. rbgenr,matched,Books,Chile Santiago; rbgenr,0.75,
307,books Colombia 21st century. rbgenr,matched,Books,Colombia 21st century; rbgenr,0.75,
308,books Cuba 2009. rbgenr,matched,Books,Cuba 2009; rbgenr,0.75,
309,books Cuba Matanzas 21st century. rbgenr,matched,Books,Cuba Matanzas 21st century; rbgenr,0.75,
310,books England 1990. rbgenr,matched,Books,England 1990; rbgenr,0.75,
311,books England London 1990. rbgenr,matched,Books,England London 1990; rbgenr,0.75,
